paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
Ah3n8U3kRT,5.5,Accept,5.50,Reject,Reject,,0.1509,0.1508682,5.0,6.0,5.0,6.0,nan,nan,
aWXnKanInf,6.1,Accept,8.00,Accept (Oral),Accept,,0.1262,0.12623579999999998,8.0,8.0,8.0,nan,nan,nan,
ISBmUNKPST,3.5,Reject,5.50,Reject,Reject,,0.1426,0.14255745,5.0,5.0,6.0,6.0,nan,nan,
2pJpFtdVNe,6.2,Accept,6.80,Accept (Poster),Accept,,0.1346,0.13457355000000001,8.0,8.0,6.0,6.0,6.0,nan,
1uLW9eYNJB,5.2,Accept,6.50,Accept (Poster),Accept,,0.1245,0.12452415,6.0,6.0,6.0,8.0,nan,nan,
61ss5RA1MM,6.5,Accept,6.50,Accept (Poster),Accept,,0.1328,0.13275299999999998,6.0,6.0,8.0,6.0,nan,nan,
CvGqMD5OtX,6.2,Accept,6.25,Accept (Poster),Accept,,0.1141,0.11414535,5.0,8.0,6.0,6.0,nan,nan,
PTcMzQgKmn,5.8,Accept,6.25,Accept (Poster),Accept,,0.1533,0.15330345,6.0,5.0,8.0,6.0,nan,nan,
2OMyAFjiJJ,6.5,Accept,6.00,Accept (Poster),Accept,,0.1464,0.14636595,6.0,6.0,6.0,6.0,nan,nan,
MB53uAZKSc,6.2,Accept,6.25,Reject,Reject,,0.1298,0.1297968,6.0,5.0,8.0,6.0,nan,nan,
DRiLWb8bJg,6.5,Accept,7.50,Accept (Spotlight),Accept,,0.1256,0.12561285,8.0,8.0,8.0,6.0,nan,nan,
FyMjfDQ9RO,6.3,Accept,6.75,Accept (Poster),Accept,,0.1296,0.12955560000000002,5.0,8.0,8.0,6.0,nan,nan,
HJp1g4w1Or,3.8,Reject,4.00,Reject,Reject,,0.1250,0.12496815,3.0,3.0,5.0,5.0,nan,nan,
GcbhbZsgiu,5.5,Accept,5.00,Accept (Poster),Accept,,0.1523,0.1522713,6.0,3.0,6.0,nan,nan,nan,
3b9SKkRAKw,6.2,Accept,8.00,Accept (Spotlight),Accept,,0.1428,0.14277555,8.0,8.0,8.0,8.0,nan,nan,
AExygKPmnJ,6.2,Accept,5.20,Reject,Reject,,0.1617,0.161676,8.0,5.0,3.0,5.0,5.0,nan,
bB0OKNpznp,4.2,Reject,6.00,Accept (Poster),Accept,,0.1276,0.12755745000000002,6.0,6.0,6.0,6.0,6.0,nan,
4hdDPa9bpI,5.5,Accept,4.75,Reject,Reject,,0.1383,0.13829580000000002,8.0,5.0,3.0,3.0,nan,nan,
9GsgCUJtic,7.0,Accept,7.33,Accept (Spotlight),Accept,,0.1406,0.14063294999999998,8.0,8.0,6.0,nan,nan,nan,
RwiUmrEHgR,2.5,Reject,3.00,Reject,Reject,,0.1396,0.1395708,3.0,3.0,3.0,3.0,nan,nan,
1F8xTfv6ah,6.1,Accept,5.25,Accept (Poster),Accept,,0.1486,0.1486038,5.0,6.0,5.0,5.0,nan,nan,
7d2JwGbxhA,6.2,Accept,5.75,Accept (Poster),Accept,,0.1250,0.12500895,6.0,6.0,8.0,3.0,nan,nan,
IoonroIpfD,2.5,Reject,2.50,Reject,Reject,,0.1125,0.11252220000000002,3.0,1.0,3.0,3.0,nan,nan,
8w22WLy2R8,5.2,Accept,5.25,Reject,Reject,,0.1480,0.1479891,6.0,5.0,5.0,5.0,nan,nan,
TvfkSyHZRA,6.8,Accept,7.00,Accept (Poster),Accept,,0.1326,0.13259579999999999,6.0,8.0,8.0,5.0,8.0,nan,
HNJJEWfo0Z,4.2,Reject,3.75,Reject,Reject,,0.1105,0.11048759999999999,3.0,6.0,3.0,3.0,nan,nan,
6hJ3khuJY4,5.2,Accept,5.25,Reject,Reject,,0.1595,0.1595331,5.0,5.0,6.0,5.0,nan,nan,
HgSIfXTpBE,5.8,Accept,5.80,Reject,Reject,,0.1481,0.14806635,5.0,5.0,6.0,5.0,8.0,nan,
HmwneoGoy9,6.5,Accept,5.25,Reject,Reject,,0.1332,0.13323495000000002,5.0,5.0,5.0,6.0,nan,nan,
bGkPZtisSm,5.2,Accept,5.25,Reject,Reject,,0.1225,0.12249885,6.0,5.0,5.0,5.0,nan,nan,
OpNMWVDdKS,5.2,Accept,5.75,Reject,Reject,,0.1696,0.1696113,6.0,6.0,6.0,5.0,nan,nan,
UL95EpgrlS,4.2,Reject,5.00,Reject,Reject,,0.1409,0.1408566,3.0,5.0,6.0,5.0,6.0,nan,
7rzA6aEASo,6.5,Accept,5.60,Reject,Reject,,0.1532,0.15322215,3.0,3.0,6.0,8.0,8.0,nan,
3ep9ZYMZS3,5.2,Accept,5.00,Accept (Poster),Accept,,0.1572,0.15724860000000002,3.0,3.0,6.0,8.0,nan,nan,
5sU32OCxgZ,4.8,Reject,6.00,Accept (Poster),Accept,,0.1340,0.1340211,6.0,6.0,6.0,6.0,nan,nan,
8bjspmAMBk,5.5,Accept,7.50,Accept (Spotlight),Accept,,0.1272,0.1272318,8.0,6.0,8.0,8.0,nan,nan,
0YkZe9nwiC,3.5,Reject,3.00,Reject,Reject,,0.1167,0.11669115000000002,3.0,3.0,3.0,3.0,3.0,nan,
HqLHY4TzGj,5.2,Accept,7.25,Accept (Spotlight),Accept,,0.1237,0.123696,8.0,5.0,8.0,8.0,nan,nan,
EyaH1wzmao,4.8,Reject,6.33,Accept (Poster),Accept,,0.1080,0.107982,8.0,3.0,8.0,nan,nan,nan,
NRYgUzSPZz,5.8,Accept,6.25,Accept (Poster),Accept,,0.1471,0.14714745,6.0,8.0,5.0,6.0,nan,nan,
RWJX5F5I9g,5.2,Accept,8.00,Accept (Oral),Accept,,0.1167,0.11668245000000001,8.0,8.0,8.0,nan,nan,nan,
K4YMFdx2Z2,5.2,Accept,5.67,Reject,Reject,,0.1410,0.14101125,6.0,5.0,6.0,nan,nan,nan,
