paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
t1QXzSGwr9,6.0,Accept,3.00,Reject,Reject,NO,3.0,1.0,5.0,3.0,,,
EYCm0AFjaSS,6.0,Accept,5.20,Reject,Reject,NO,5.0,5.0,5.0,6.0,5.0,,
XWODe7ZLn8f,6.0,Accept,7.00,Accept (Spotlight),Accept,YES,8.0,6.0,8.0,6.0,,,
AUszBTiYBB6,6.0,Accept,3.00,Reject,Reject,NO,3.0,3.0,3.0,,,,
bTteFbU99ye,6.0,Accept,8.00,Accept (Poster),Accept,YES,8.0,8.0,8.0,,,,
WVX0NNVBBkV,6.0,Accept,7.00,Accept (Poster),Accept,YES,8.0,8.0,6.0,6.0,,,
RQ428ZptQfU,6.0,Accept,7.50,Accept (Poster),Accept,YES,8.0,8.0,8.0,6.0,,,
7MV6uLzOChW,6.0,Accept,7.50,Accept (Poster),Accept,YES,8.0,6.0,8.0,8.0,,,
g4nVdxU9RK,6.0,Accept,3.75,Reject,Reject,NO,3.0,3.0,3.0,6.0,,,
4Muj-t_4o4,6.0,Accept,5.75,Accept (Poster),Accept,YES,3.0,6.0,6.0,8.0,,,
JGO8CvG5S9,6.0,Accept,8.00,Accept (Spotlight),Accept,YES,8.0,6.0,10.0,,,,
B2pZkS2urk_,6.0,Accept,3.50,Reject,Reject,NO,3.0,5.0,3.0,3.0,,,
0lSoIruExF,6.0,Accept,2.60,Reject,Reject,NO,1.0,3.0,1.0,3.0,5.0,,
Wm3EA5OlHsG,6.0,Accept,6.75,Accept (Poster),Accept,YES,8.0,5.0,6.0,8.0,,,
FndDxSz3LxQ,6.0,Accept,5.75,Accept (Poster),Accept,YES,5.0,6.0,6.0,6.0,,,
rdBuE6EigGl,6.0,Accept,3.67,Reject,Reject,NO,3.0,5.0,3.0,,,,
jJWK09skiNl,6.0,Accept,1.80,Reject,Reject,NO,3.0,3.0,1.0,1.0,1.0,,
2hMEdc35xZ6,6.0,Accept,3.40,Reject,Reject,NO,3.0,3.0,5.0,3.0,3.0,,
m8uJvVgwRci,6.0,Accept,7.50,Accept (Poster),Accept,YES,8.0,6.0,8.0,8.0,,,
vcUmUvQCloe,6.0,Accept,7.00,Accept (Poster),Accept,YES,5.0,8.0,8.0,,,,
sBT5nxwt18Q,6.0,Accept,4.25,Reject,Reject,NO,3.0,5.0,3.0,6.0,,,
FPCMqjI0jXN,6.0,Accept,7.33,Accept (Oral),Accept,YES,8.0,8.0,6.0,,,,
ULfq0qR25dY,6.0,Accept,6.50,Accept (Poster),Accept,YES,8.0,6.0,6.0,6.0,,,
gCmCiclZV6Q,6.0,Accept,3.00,Reject,Reject,NO,3.0,3.0,3.0,,,,
Oh1r2wApbPv,6.0,Accept,7.00,Accept (Poster),Accept,YES,6.0,6.0,8.0,8.0,,,
m5EBN92vjN,6.0,Accept,1.50,Reject,Reject,NO,1.0,3.0,1.0,1.0,,,
p98WJxUC3Ca,6.0,Accept,6.00,Accept (Poster),Accept,YES,6.0,6.0,6.0,6.0,,,
Ub1BQTKiwqg,6.0,Accept,3.00,Reject,Reject,NO,3.0,3.0,3.0,3.0,,,
0SiVrAfIxOe,6.0,Accept,5.00,Reject,Reject,NO,5.0,5.0,5.0,,,,
HMJdXzbWKH,6.0,Accept,6.75,Accept (Poster),Accept,YES,6.0,8.0,8.0,5.0,,,
EZNOb_uNpJk,6.0,Accept,5.33,Accept (Poster),Accept,YES,6.0,5.0,5.0,,,,
R3zqNwzAVsC,6.0,Accept,5.00,Reject,Reject,NO,5.0,5.0,5.0,5.0,,,
iLHOIDsPv1P,6.0,Accept,7.50,Accept (Spotlight),Accept,YES,6.0,10.0,8.0,6.0,,,
hfU7Ka5cfrC,6.0,Accept,7.50,Accept (Spotlight),Accept,YES,8.0,6.0,8.0,8.0,,,
Rx9luEzcSoy,6.0,Accept,6.50,Reject,Reject,NO,6.0,8.0,6.0,6.0,,,
fHeK814NOMO,6.0,Accept,6.67,Reject,Reject,NO,5.0,3.0,8.0,6.0,8.0,10.0,
OCgCYv7KGZe,6.0,Accept,5.50,Reject,Reject,NO,6.0,8.0,3.0,5.0,,,
H4EXaI6HR2,6.0,Accept,2.33,Reject,Reject,NO,3.0,1.0,3.0,,,,
QKEkEFpKBBv,6.0,Accept,3.00,Reject,Reject,NO,3.0,3.0,3.0,3.0,,,
7AzOUBeajwl,6.0,Accept,4.25,Reject,Reject,NO,3.0,3.0,5.0,6.0,,,
ms7xJWbf8Ku,6.0,Accept,5.00,Reject,Reject,NO,3.0,6.0,5.0,6.0,5.0,,
VNdFPD5wqjh,6.0,Accept,5.50,Reject,Reject,NO,6.0,5.0,3.0,8.0,,,
nK7eZEURiJ4,6.0,Accept,3.00,Reject,Reject,NO,5.0,3.0,3.0,1.0,,,
inSTvgLk2YP,6.0,Accept,4.75,Reject,Reject,NO,6.0,5.0,3.0,5.0,,,
Czsdv-S4-w9,6.0,Accept,7.25,Accept (Poster),Accept,YES,5.0,6.0,8.0,10.0,,,
6-lLt2zxbZR,6.0,Accept,3.00,Reject,Reject,NO,1.0,3.0,3.0,5.0,,,
Ti2i204vZON,6.0,Accept,4.50,Reject,Reject,NO,3.0,6.0,3.0,6.0,,,
1L0C5ROtFp,6.0,Accept,8.67,Accept (Oral),Accept,YES,8.0,8.0,10.0,,,,
Dup_dDqkZC5,6.0,Accept,7.50,Accept (Spotlight),Accept,YES,8.0,8.0,6.0,8.0,,,
rbFPSQHlllm,6.0,Accept,2.00,Reject,Reject,NO,1.0,3.0,3.0,1.0,,,
lu_DAxnWsh,6.0,Accept,3.00,Reject,Reject,NO,3.0,3.0,3.0,3.0,,,
V7eSbSAz-O8,6.0,Accept,1.67,Reject,Reject,NO,3.0,1.0,1.0,,,,
9Hrka5PA7LW,6.0,Accept,8.00,Accept (Oral),Accept,YES,8.0,8.0,8.0,8.0,,,
LQCUmLgFlR,6.0,Accept,5.00,Reject,Reject,NO,6.0,3.0,6.0,5.0,,,
R11xJsRjA-W,6.0,Accept,3.50,Reject,Reject,NO,1.0,5.0,5.0,3.0,,,
TXqemS7XEH,6.0,Accept,4.00,Reject,Reject,NO,3.0,5.0,3.0,3.0,6.0,,
LtKcMgGOeLt,6.0,Accept,7.00,Accept (Spotlight),Accept,YES,8.0,6.0,8.0,8.0,5.0,,
KSSfF5lMIAg,6.0,Accept,5.25,Accept (Poster),Accept,YES,6.0,5.0,5.0,5.0,,,
7gWSJrP3opB,6.0,Accept,8.00,Accept (Spotlight),Accept,YES,8.0,8.0,8.0,8.0,,,
ChKNCDB0oYj,6.0,Accept,2.33,Reject,Reject,NO,3.0,3.0,1.0,,,,
q2ZaVU6bEsT,6.0,Accept,3.00,Reject,Reject,NO,3.0,3.0,3.0,,,,
eqaxDZg4MHw,6.0,Accept,3.75,Reject,Reject,NO,3.0,3.0,6.0,3.0,,,
1JN7MepVDFv,6.0,Accept,5.50,Reject,Reject,NO,6.0,5.0,6.0,5.0,,,
GQd7mXSPua,6.0,Accept,5.67,Accept (Poster),Accept,YES,6.0,5.0,6.0,,,,
IhkSFe9YqMy,6.0,Accept,2.00,Reject,Reject,NO,1.0,3.0,1.0,3.0,,,
MqEcDNQwOSA,6.0,Accept,3.00,Reject,Reject,NO,3.0,3.0,3.0,3.0,,,
CC-BbehJKTe,6.0,Accept,2.50,Reject,Reject,NO,3.0,1.0,3.0,3.0,,,
xaTensJtCP5,6.0,Accept,5.25,Reject,Reject,NO,5.0,8.0,5.0,3.0,,,
Eot1M5o2Zy,6.0,Accept,2.25,Reject,Reject,NO,1.0,6.0,1.0,1.0,,,
AS0dhAKIYA0,6.0,Accept,2.50,Reject,Reject,NO,1.0,3.0,1.0,5.0,,,
WN2Sup7qLdw,6.0,Accept,4.40,Reject,Reject,NO,3.0,5.0,3.0,5.0,6.0,,
f4c4JtbHJ7B,6.0,Accept,4.25,Reject,Reject,NO,3.0,5.0,6.0,3.0,,,
z3Tf4kdOE5D,6.0,Accept,4.00,Reject,Reject,NO,5.0,3.0,5.0,3.0,,,
qyTBxTztIpQ,6.0,Accept,6.33,Accept (Poster),Accept,YES,8.0,5.0,6.0,,,,
SN2bkl9f69,6.0,Accept,5.33,Reject,Reject,NO,5.0,5.0,6.0,,,,
8CEJlHbKoP4,6.0,Accept,4.75,Reject,Reject,NO,3.0,5.0,6.0,5.0,,,
rq1-7_lwisw,6.0,Accept,5.00,Reject,Reject,NO,6.0,3.0,6.0,5.0,,,
izvwgBic9q,6.0,Accept,5.33,Accept (Poster),Accept,YES,5.0,3.0,8.0,,,,
ckZY7DGa7FQ,6.0,Accept,6.75,Accept (Poster),Accept,YES,3.0,8.0,8.0,8.0,,,
MkTPtnjeYTV,6.0,Accept,8.00,Accept (Spotlight),Accept,YES,8.0,8.0,8.0,,,,
xFOyMwWPkz,6.0,Accept,6.25,Accept (Poster),Accept,YES,8.0,6.0,5.0,6.0,,,
buSCIu6izBY,6.0,Accept,2.33,Reject,Reject,NO,3.0,1.0,3.0,,,,
5Qkd7-bZfI,6.0,Accept,6.00,Accept (Poster),Accept,YES,6.0,6.0,6.0,6.0,,,
xRK8xgFuiu,6.0,Accept,4.20,Reject,Reject,NO,3.0,3.0,6.0,3.0,6.0,,
DIjCrlsu6Z,6.0,Accept,7.33,Accept (Spotlight),Accept,YES,6.0,8.0,8.0,,,,
gLqnSGXVJ6l,6.0,Accept,2.50,Reject,Reject,NO,3.0,1.0,3.0,3.0,,,
