paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
on54StZqGQ_,6.0,Accept,5.75,Reject,Reject,NO,6.0,6.0,5.0,6.0,,,
Py8WbvKH_wv,6.0,Accept,5.50,Reject,Reject,NO,5.0,5.0,6.0,6.0,,,
LtKcMgGOeLt,6.0,Accept,7.00,Accept (Spotlight),Accept,YES,8.0,6.0,8.0,8.0,5.0,,
WxuE_JWxjkW,6.0,Accept,6.25,Accept (Poster),Accept,YES,6.0,8.0,3.0,8.0,,,
Ivku4TZgEly,6.0,Accept,5.00,Reject,Reject,NO,5.0,5.0,5.0,,,,
Yr_1QZaRqmv,6.0,Accept,4.25,Reject,Reject,NO,3.0,5.0,3.0,6.0,,,
iaqgio-pOv,6.0,Accept,4.80,Reject,Reject,NO,6.0,5.0,6.0,6.0,1.0,,
7AzOUBeajwl,6.0,Accept,4.25,Reject,Reject,NO,3.0,3.0,5.0,6.0,,,
nsjkNB2oKsQ,6.0,Accept,3.50,Reject,Reject,NO,5.0,3.0,3.0,3.0,,,
m5EBN92vjN,6.0,Accept,1.50,Reject,Reject,NO,1.0,3.0,1.0,1.0,,,
ghTlLwlBS-,6.0,Accept,4.75,Reject,Reject,NO,5.0,3.0,6.0,5.0,,,
MvO2t0vbs4-,6.0,Accept,6.00,Accept (Poster),Accept,YES,6.0,6.0,6.0,,,,
Uxppuphg5ZL,6.0,Accept,4.75,Reject,Reject,NO,6.0,3.0,5.0,5.0,,,
5hLP5JY9S2d,6.0,Accept,7.33,Accept (Oral),Accept,YES,8.0,6.0,8.0,,,,
x4tkHYGpTdq,6.0,Accept,4.20,Reject,Reject,NO,3.0,5.0,3.0,5.0,5.0,,
qI4542Y2s1D,6.0,Accept,6.00,Accept (Poster),Accept,YES,6.0,6.0,6.0,6.0,,,
