paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
NfO2Lt2WY7,4.3,N/A,2.00,Reject,Reject,N/A,0.0363,6.0,0.0,0.0,2.0,,,
qSak1Hjfdq,5.7,N/A,5.00,Accept (Poster),Accept,N/A,0.0511,4.0,6.0,4.0,6.0,,,
RpDJz00zNh,5.1,N/A,4.50,Reject,Reject,N/A,0.0235,4.0,6.0,4.0,4.0,,,
b6qQmQ2F13,5.3,N/A,5.00,Accept (Poster),Accept,N/A,0.0267,2.0,6.0,6.0,6.0,,,
oiz0QHejVj,4.3,N/A,4.50,Reject,Reject,N/A,0.0282,4.0,6.0,4.0,4.0,,,
tswBfpkwHn,6.2,N/A,5.00,Reject,Reject,N/A,0.0895,6.0,4.0,6.0,4.0,,,
sJxBWDc8SM,5.8,N/A,3.50,Reject,Reject,N/A,0.0230,2.0,2.0,4.0,6.0,,,
1EdAn5gMVv,6.1,N/A,5.00,Reject,Reject,N/A,0.0392,6.0,8.0,2.0,4.0,,,
xFo13SaHQm,6.1,N/A,6.50,Accept (Poster),Accept,N/A,0.0325,6.0,6.0,6.0,8.0,,,
khBHJz2wcV,5.2,N/A,3.00,Accept (Poster),Accept,N/A,0.0546,0.0,2.0,6.0,4.0,,,
ZBhZT307xx,5.2,N/A,3.00,Withdrawn (treated as Reject),Reject,N/A,0.0362,4.0,2.0,4.0,2.0,,,
pNpnqsn0Si,4.8,N/A,3.00,Reject,Reject,N/A,0.0222,4.0,2.0,4.0,2.0,,,
WhO6Km5Rku,2.8,N/A,4.00,Withdrawn (treated as Reject),Reject,N/A,0.0258,4.0,4.0,2.0,6.0,,,
sh1hWO9RHo,4.8,N/A,4.50,Reject,Reject,N/A,0.0390,4.0,4.0,6.0,4.0,,,
Pa6ak2B9jJ,5.8,N/A,5.33,Accept (Poster),Accept,N/A,0.0375,6.0,6.0,4.0,,,,
GMP1S4R6Ke,4.5,N/A,5.33,Accept (Poster),Accept,N/A,0.0338,4.0,6.0,6.0,,,,
crKJJ4Ej60,5.1,N/A,5.33,Accept (Poster),Accept,N/A,0.0421,4.0,6.0,6.0,,,,
XX5EZoe4ec,4.3,N/A,2.00,Reject,Reject,N/A,0.0307,2.0,2.0,2.0,2.0,,,
WwDNiisZQm,6.6,N/A,4.00,Accept (Poster),Accept,N/A,0.0313,6.0,2.0,4.0,4.0,,,
USyGD0eUod,5.7,N/A,6.00,Accept (Poster),Accept,N/A,0.0589,6.0,8.0,4.0,,,,
ZNAY3ivd62,5.3,N/A,4.00,Reject,Reject,N/A,0.0225,2.0,4.0,6.0,4.0,,,
d2pUyiXwcm,6.8,N/A,4.50,Accept (Poster),Accept,N/A,0.1026,4.0,2.0,8.0,4.0,,,
GiaF5cFIpI,4.4,N/A,3.50,Reject,Reject,N/A,0.0331,6.0,2.0,4.0,2.0,,,
0cbUKCyBsH,5.3,N/A,3.50,Reject,Reject,N/A,0.0607,4.0,2.0,4.0,4.0,,,
kMfVTka2WB,1.8,N/A,2.00,Reject,Reject,N/A,0.0153,2.0,2.0,2.0,2.0,,,
bH5M0ts8Y6,5.8,N/A,5.00,Accept (Poster),Accept,N/A,0.0418,4.0,8.0,4.0,4.0,,,
CTEXdHB1BB,6.3,N/A,5.00,Accept (Poster),Accept,N/A,0.0303,6.0,4.0,2.0,8.0,,,
7yvz93kBw9,4.9,N/A,6.00,Accept (Poster),Accept,N/A,0.0253,6.0,6.0,6.0,,,,
khHNHzRjMy,4.0,N/A,3.00,Reject,Reject,N/A,0.0252,6.0,2.0,2.0,2.0,,,
DZUehXNiBn,5.3,N/A,4.00,Withdrawn (treated as Reject),Reject,N/A,0.0662,4.0,2.0,4.0,6.0,,,
ZMzha5gbnF,6.8,N/A,7.00,Accept (Poster),Accept,N/A,0.0420,6.0,6.0,8.0,8.0,,,
CQ0U1wZYoy,5.3,N/A,4.00,Accept (Poster),Accept,N/A,0.0202,2.0,4.0,4.0,4.0,6.0,,
ey7CXUBn1g,3.8,N/A,3.00,Withdrawn (treated as Reject),Reject,N/A,0.0327,2.0,2.0,4.0,4.0,,,
MwuSvrthXq,4.8,N/A,4.00,Reject,Reject,N/A,0.0630,6.0,4.0,2.0,4.0,,,
NFB4QGGS65,7.2,N/A,6.50,Accept (Poster),Accept,N/A,0.0622,8.0,8.0,4.0,6.0,,,
4Ha2srdhPN,4.4,N/A,4.50,Reject,Reject,N/A,0.0400,2.0,8.0,2.0,6.0,,,
Mz98kwANpF,5.2,N/A,4.50,Reject,Reject,N/A,0.0321,4.0,4.0,4.0,6.0,,,
FlcMckO6x5,5.6,N/A,6.00,Accept (Poster),Accept,N/A,0.0706,6.0,8.0,4.0,6.0,,,
iIEEgI6WsF,5.7,N/A,5.50,Accept (Poster),Accept,N/A,0.0259,6.0,2.0,8.0,6.0,,,
XIAta0WOJ6,6.6,N/A,6.00,Accept (Poster),Accept,N/A,0.0264,8.0,6.0,6.0,4.0,,,
D5PJX02Jki,5.6,N/A,6.00,Accept (Poster),Accept,N/A,0.0349,8.0,6.0,4.0,6.0,,,
