paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
34V0IZytle,5,Accept,6.67,Accept (Poster),Accept,YES,8.0,4.0,8.0,,,,
qbDnX2YC6F,5,Accept,4.50,Reject,Reject,NO,6.0,4.0,4.0,4.0,,,
mHRuCmc9lo,5,Accept,7.33,Accept (Poster),Accept,YES,6.0,8.0,8.0,,,,
78WdKlYSeO,5,Accept,1.33,Reject,Reject,NO,2.0,2.0,0.0,,,,
0aBAAS0rRT,5,Accept,5.33,Accept (Poster),Accept,YES,6.0,4.0,6.0,,,,
oG3UEPs0Ov,5,Accept,0.50,Withdrawn (treated as Reject),Reject,NO,0.0,0.0,2.0,0.0,,,
m18MXVdrV9,5,Accept,5.50,Accept (Poster),Accept,YES,4.0,6.0,6.0,6.0,,,
xVB9AivJa5,5,Accept,1.33,Reject,Reject,NO,0.0,2.0,2.0,,,,
1CR1MTIgmq,5,Accept,0.00,Reject,Reject,NO,0.0,0.0,0.0,,,,
9WiPZy3Kro,5,Accept,5.50,Accept (Poster),Accept,YES,6.0,4.0,6.0,6.0,,,
Rd0yhdfueL,5,Accept,1.00,Reject,Reject,NO,2.0,0.0,0.0,2.0,,,
xcBV0fK0ZK,5,Accept,1.50,Withdrawn (treated as Reject),Reject,NO,2.0,2.0,2.0,0.0,,,
51n0n1Lpdt,5,Accept,4.00,Reject,Reject,NO,6.0,2.0,4.0,4.0,4.0,,
K5t8PfzwFR,5,Accept,3.00,Withdrawn (treated as Reject),Reject,NO,4.0,2.0,4.0,2.0,,,
b8denYGJ9z,5,Accept,1.33,Withdrawn (treated as Reject),Reject,NO,2.0,0.0,2.0,,,,
r99m9ziONQ,5,Accept,6.00,Accept (Poster),Accept,YES,6.0,6.0,6.0,6.0,,,
ZBaPU5FL0Z,5,Accept,3.00,Withdrawn (treated as Reject),Reject,NO,2.0,4.0,4.0,2.0,,,
OjRaJw4tnr,5,Accept,2.00,Withdrawn (treated as Reject),Reject,NO,2.0,2.0,2.0,2.0,,,
HHYd4Pz5Lp,5,Accept,1.33,Withdrawn (treated as Reject),Reject,NO,0.0,2.0,2.0,,,,
gHPRSPxIsk,5,Accept,7.00,Accept (Poster),Accept,YES,8.0,6.0,8.0,6.0,,,
Ahdsg2nkNH,5,Accept,8.00,Accept (Poster),Accept,YES,8.0,8.0,8.0,,,,
CVZFzsg1PJ,5,Accept,2.00,Withdrawn (treated as Reject),Reject,NO,2.0,2.0,2.0,2.0,,,
