paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
avSocG0oFA,7.2,N/A,7.50,Accept (Spotlight),Accept,N/A,0.0355,8.0,8.0,8.0,6.0,,,
kbjJ9ZOakb,7.0,N/A,8.00,Accept (Oral),Accept,N/A,0.0180,8.0,8.0,8.0,8.0,,,
ZYd5wJSaMs,7.0,N/A,6.40,Accept (Poster),Accept,N/A,0.0220,6.0,6.0,8.0,6.0,6.0,,
YaeZwhXJ4k,7.0,N/A,6.67,Accept (Poster),Accept,N/A,0.0229,6.0,8.0,6.0,,,,
iEUZMISIKj,7.5,N/A,4.75,Reject,Reject,N/A,0.0260,3.0,6.0,5.0,5.0,,,
6EkWIfvjj9,5.5,N/A,5.25,Reject,Reject,N/A,0.0266,6.0,5.0,5.0,5.0,,,
ajSmXqgS24,7.0,N/A,6.75,Accept (Poster),Accept,N/A,0.0258,8.0,6.0,5.0,8.0,,,
Z7FLmWFUFo,7.0,N/A,3.75,Reject,Reject,N/A,0.0246,6.0,3.0,3.0,3.0,,,
JyQYYjtO88,7.0,N/A,6.67,Accept (Poster),Accept,N/A,0.0202,6.0,6.0,8.0,,,,
pcnq7fZs4t,4.0,N/A,3.00,Reject,Reject,N/A,0.0117,3.0,3.0,5.0,1.0,,,
XFpb3T5Zc9,5.5,N/A,5.67,Reject,Reject,N/A,0.0365,5.0,6.0,6.0,,,,
a3g2l4yEys,7.5,N/A,6.75,Accept (Poster),Accept,N/A,0.0477,8.0,5.0,8.0,6.0,,,
dMj3SDNxn4,7.0,N/A,5.00,Reject,Reject,N/A,0.0179,5.0,5.0,5.0,,,,
pPyJyeLriR,7.5,N/A,7.50,Accept (Spotlight),Accept,N/A,0.0533,8.0,8.0,8.0,6.0,,,
8WtBrv2k2b,5.5,N/A,5.00,Reject,Reject,N/A,0.0266,8.0,3.0,3.0,6.0,,,
zvYJ1qG1Fy,5.5,N/A,4.00,Reject,Reject,N/A,0.0264,5.0,3.0,3.0,5.0,,,
rwqShzb9li,7.5,N/A,7.50,Accept (Oral),Accept,N/A,0.0247,6.0,8.0,10.0,6.0,,,
f6GMwpxXHG,3.0,N/A,2.20,Reject,Reject,N/A,0.0178,1.0,3.0,3.0,3.0,1.0,,
ZDoN4W5s8d,7.0,N/A,3.00,Reject,Reject,N/A,0.0317,3.0,3.0,3.0,,,,
oRfHv642qD,7.5,N/A,4.40,Reject,Reject,N/A,0.0250,3.0,5.0,6.0,3.0,5.0,,
2orBSi7pvi,5.0,N/A,3.00,Reject,Reject,N/A,0.0135,3.0,3.0,3.0,3.0,,,
GySIAKEwtZ,7.2,N/A,6.50,Accept (Poster),Accept,N/A,0.0385,6.0,8.0,6.0,6.0,,,
LNp7KW33Cg,6.5,N/A,5.00,Reject,Reject,N/A,0.0254,5.0,5.0,5.0,5.0,,,
96jZFqM5E0,7.5,N/A,6.67,Accept (Poster),Accept,N/A,0.0194,8.0,6.0,6.0,,,,
owEQ0FTfVj,7.5,N/A,6.67,Accept (Poster),Accept,N/A,0.0190,6.0,8.0,6.0,,,,
E0dTlxy1T4,7.0,N/A,5.80,Reject,Reject,N/A,0.0212,6.0,6.0,6.0,5.0,6.0,,
4Kw4KAoVnx,7.5,N/A,5.50,Reject,Reject,N/A,0.0275,5.0,6.0,6.0,5.0,,,
TRWxFUzK9K,7.5,N/A,6.50,Accept (Poster),Accept,N/A,0.0170,6.0,6.0,6.0,8.0,,,
FDnZFpHmU4,7.0,N/A,7.50,Accept (Spotlight),Accept,N/A,0.0200,8.0,8.0,8.0,6.0,,,
rAylWUIKtu,7.5,N/A,4.25,Reject,Reject,N/A,0.0189,5.0,6.0,3.0,3.0,,,
tl63stKeSC,6.5,N/A,4.50,Reject,Reject,N/A,0.0247,6.0,3.0,3.0,6.0,,,
UYZRaUCLAg,7.0,N/A,5.33,Reject,Reject,N/A,0.0173,8.0,3.0,5.0,,,,
TwZBQKgwdW,5.5,N/A,5.25,Reject,Reject,N/A,0.0173,5.0,5.0,6.0,5.0,,,
ERce2rgMQC,7.2,N/A,7.00,Accept (Poster),Accept,N/A,0.0270,8.0,8.0,6.0,6.0,,,
UKZqSYB2ya,5.5,N/A,2.50,Reject,Reject,N/A,0.0115,1.0,3.0,3.0,3.0,,,
X4Rcxi9588,7.0,N/A,5.50,Reject,Reject,N/A,0.0176,6.0,6.0,5.0,5.0,,,
cXxfVkRCHJ,5.0,N/A,3.00,Reject,Reject,N/A,0.0126,3.0,3.0,3.0,,,,
5x9kfRXhBd,3.5,N/A,3.00,Reject,Reject,N/A,0.0127,5.0,1.0,3.0,3.0,,,
IjiIPQcLbV,5.0,N/A,4.00,Reject,Reject,N/A,0.0201,3.0,5.0,5.0,3.0,,,
bEvI30Hb2W,4.5,N/A,3.00,Reject,Reject,N/A,0.0152,3.0,3.0,3.0,3.0,,,
8ZA7lrzw7O,5.5,N/A,4.00,Reject,Reject,N/A,0.0296,3.0,5.0,3.0,5.0,,,
q3EbOXb4y1,7.5,N/A,7.50,Accept (Spotlight),Accept,N/A,0.0300,8.0,6.0,8.0,8.0,,,
n2xueVy5ek,5.0,N/A,3.00,Reject,Reject,N/A,0.0208,3.0,3.0,3.0,,,,
eW4yh6HKz4,5.5,N/A,7.60,Accept (Spotlight),Accept,N/A,0.0229,6.0,6.0,8.0,10.0,8.0,,
