paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
qSak1Hjfdq,7.5,N/A,5.00,Accept (Poster),Accept,N/A,0.0302,4.0,6.0,4.0,6.0,,,
q56ZI1Co43,7.5,N/A,4.50,Accept (Poster),Accept,N/A,0.0187,2.0,4.0,6.0,6.0,,,
U4GXPqm3Va,7.5,N/A,4.67,Accept (Poster),Accept,N/A,0.0203,4.0,6.0,4.0,,,,
KjgyAm383Z,7.2,N/A,6.00,Accept (Poster),Accept,N/A,0.0340,4.0,8.0,6.0,6.0,,,
nHrYBGujps,8.2,N/A,7.50,Accept (Oral),Accept,N/A,0.0113,6.0,8.0,8.0,8.0,,,
m6W5SfQXrT,7.0,N/A,3.33,Withdrawn (treated as Reject),Reject,N/A,0.0161,4.0,4.0,2.0,,,,
ikmBOPAozE,7.0,N/A,3.50,Withdrawn (treated as Reject),Reject,N/A,0.0204,2.0,4.0,4.0,4.0,,,
TaThyuCLk7,7.0,N/A,4.50,Reject,Reject,N/A,0.0289,4.0,4.0,4.0,6.0,,,
W42oLSwI9p,4.0,N/A,5.00,Reject,Reject,N/A,0.0179,4.0,4.0,6.0,6.0,,,
Vgm77U4ojX,7.5,N/A,6.00,Accept (Poster),Accept,N/A,0.0369,6.0,8.0,6.0,4.0,6.0,,
QtfALPluAj,7.0,N/A,4.00,Reject,Reject,N/A,0.0345,4.0,2.0,6.0,4.0,,,
JEN4nsDgh9,5.5,N/A,3.50,Reject,Reject,N/A,0.0308,4.0,4.0,2.0,4.0,,,
xFo13SaHQm,7.5,N/A,6.50,Accept (Poster),Accept,N/A,0.0228,6.0,6.0,6.0,8.0,,,
koovkKgftz,5.0,N/A,2.50,Withdrawn (treated as Reject),Reject,N/A,0.0293,2.0,2.0,4.0,2.0,,,
MwuSvrthXq,7.5,N/A,4.00,Reject,Reject,N/A,0.0377,6.0,4.0,2.0,4.0,,,
wgGJE6Z1B3,7.5,N/A,5.50,Accept (Poster),Accept,N/A,0.0255,8.0,6.0,4.0,4.0,,,
sBkdGflUBI,7.0,N/A,5.50,Reject,Reject,N/A,0.0194,6.0,6.0,4.0,6.0,,,
cgPyllO65i,7.0,N/A,2.50,Reject,Reject,N/A,0.0072,4.0,2.0,2.0,2.0,,,
rIMOXvaLAe,7.5,N/A,5.00,Accept (Poster),Accept,N/A,0.0172,4.0,6.0,4.0,6.0,,,
FlcMckO6x5,6.8,N/A,6.00,Accept (Poster),Accept,N/A,0.0370,6.0,8.0,4.0,6.0,,,
GMP1S4R6Ke,7.5,N/A,5.33,Accept (Poster),Accept,N/A,0.0216,4.0,6.0,6.0,,,,
EjH5I9ziug,5.5,N/A,2.50,Reject,Reject,N/A,0.0083,2.0,4.0,2.0,2.0,,,
t0fU6t3Skw,5.0,N/A,2.50,Reject,Reject,N/A,0.0189,2.0,2.0,2.0,4.0,,,
bbAN9PPcI1,7.5,N/A,6.00,Accept (Poster),Accept,N/A,0.0116,6.0,6.0,8.0,4.0,,,
AepuXqQM4X,6.5,N/A,4.67,Accept (Poster),Accept,N/A,0.0209,4.0,4.0,6.0,,,,
USyGD0eUod,7.5,N/A,6.00,Accept (Poster),Accept,N/A,0.0416,6.0,8.0,4.0,,,,
GKJHPHNFIx,7.5,N/A,5.50,Accept (Poster),Accept,N/A,0.0216,6.0,4.0,6.0,6.0,,,
sJxBWDc8SM,7.0,N/A,3.50,Reject,Reject,N/A,0.0168,2.0,2.0,4.0,6.0,,,
cwOSdyuNh6,7.2,N/A,5.50,Accept (Poster),Accept,N/A,0.0336,6.0,6.0,6.0,4.0,,,
iPCgCxmSR4,3.5,N/A,2.00,Withdrawn (treated as Reject),Reject,N/A,0.0150,2.0,4.0,2.0,0.0,,,
7qNbWQTV26,7.2,N/A,6.00,Accept (Poster),Accept,N/A,0.0295,4.0,6.0,8.0,6.0,,,
8hMaqBagPd,7.5,N/A,7.00,Accept (Poster),Accept,N/A,0.0255,6.0,6.0,6.0,10.0,,,
YjMCArLE1r,7.0,N/A,2.00,Withdrawn (treated as Reject),Reject,N/A,0.0170,4.0,2.0,2.0,0.0,,,
hQZQVLJrH9,7.0,N/A,4.50,Withdrawn (treated as Reject),Reject,N/A,0.0104,4.0,2.0,6.0,6.0,,,
41JeFWdVFa,7.0,N/A,4.67,Reject,Reject,N/A,0.0229,6.0,6.0,2.0,,,,
D5PJX02Jki,7.0,N/A,6.00,Accept (Poster),Accept,N/A,0.0083,8.0,6.0,4.0,6.0,,,
