paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
LJULZNlW5d,4.5,N/A,3.00,Reject,Reject,N/A,0.0132,3.0,1.0,3.0,5.0,,,
A6Y7AqlzLW,7.5,N/A,7.14,Accept (Spotlight),Accept,N/A,0.0410,8.0,8.0,6.0,8.0,8.0,6.0,
xVw8YNEtH3,3.0,N/A,3.00,Reject,Reject,N/A,0.0269,3.0,5.0,1.0,,,,
6Mdvq0bPyG,7.5,N/A,3.00,Reject,Reject,N/A,0.0215,3.0,3.0,3.0,,,,
RdG7LVGnQi,5.5,N/A,4.50,Reject,Reject,N/A,0.0178,5.0,6.0,6.0,1.0,,,
P7f55HQtV8,7.0,N/A,6.50,Accept (Poster),Accept,N/A,0.0297,6.0,6.0,8.0,6.0,,,
bEgDEyy2Yk,3.5,N/A,1.00,Reject,Reject,N/A,0.0093,1.0,1.0,1.0,1.0,,,
friHAl5ofG,7.0,N/A,7.50,Accept (Spotlight),Accept,N/A,0.0223,8.0,8.0,6.0,8.0,,,
v4MTnPiYXY,7.5,N/A,7.00,Accept (Poster),Accept,N/A,0.0190,6.0,8.0,6.0,8.0,,,
Pxik3T6Mn9,5.5,N/A,4.50,Reject,Reject,N/A,0.0214,6.0,3.0,3.0,6.0,,,
gRmWtOnTLK,7.5,N/A,6.80,Accept (Poster),Accept,N/A,0.0227,8.0,8.0,5.0,5.0,8.0,,
n2NidsYDop,7.0,N/A,8.67,Accept (Oral),Accept,N/A,0.0378,8.0,8.0,10.0,,,,
eBS3dQQ8GV,7.0,N/A,7.80,Accept (Oral),Accept,N/A,0.0372,8.0,5.0,10.0,8.0,8.0,,
P49gSPmrvN,3.0,N/A,1.00,Reject,Reject,N/A,0.0070,1.0,1.0,1.0,,,,
MFZjrTFE7h,7.5,N/A,7.50,Accept (Spotlight),Accept,N/A,0.0172,8.0,8.0,8.0,6.0,,,
jCNRcHrfLo,5.5,N/A,5.00,Reject,Reject,N/A,0.0137,5.0,5.0,5.0,5.0,,,
YrycTjllL0,7.5,N/A,9.00,Accept (Oral),Accept,N/A,0.0312,10.0,10.0,8.0,8.0,,,
o1efpbvR6v,4.5,N/A,2.33,Reject,Reject,N/A,0.0170,5.0,1.0,1.0,,,,
wgnMdxS2nZ,4.5,N/A,3.40,Reject,Reject,N/A,0.0175,3.0,5.0,3.0,3.0,3.0,,
VpWki1v2P8,7.5,N/A,8.67,Accept (Oral),Accept,N/A,0.0266,8.0,8.0,10.0,,,,
y2ch7iQSJu,5.0,N/A,2.00,Reject,Reject,N/A,0.0249,3.0,3.0,1.0,1.0,,,
dVrYcscgLu,7.0,N/A,3.75,Reject,Reject,N/A,0.0277,3.0,3.0,6.0,3.0,,,
