paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
YkfhTzq3hL,7.0,N/A,4.50,Reject,Reject,N/A,0.0086,6.0,8.0,2.0,2.0,,,
0aBAAS0rRT,7.0,N/A,5.33,Accept (Poster),Accept,N/A,0.0063,6.0,4.0,6.0,,,,
9qbKOaF8YJ,7.5,N/A,3.33,Withdrawn (treated as Reject),Reject,N/A,0.0098,2.0,4.0,4.0,,,,
xcBV0fK0ZK,5.5,N/A,1.50,Withdrawn (treated as Reject),Reject,N/A,0.0101,2.0,2.0,2.0,0.0,,,
ZOV3697bZZ,7.5,N/A,5.00,Reject,Reject,N/A,0.0098,6.0,4.0,4.0,6.0,,,
OPFE1zPYbU,5.5,N/A,1.00,Reject,Reject,N/A,0.0397,0.0,2.0,0.0,2.0,,,
zuYXSoOzYG,5.5,N/A,2.00,Reject,Reject,N/A,0.0074,2.0,2.0,2.0,2.0,,,
DTQIjngDta,7.5,N/A,8.00,Accept (Poster),Accept,N/A,0.0199,8.0,10.0,6.0,,,,
9rvefNQN1C,7.0,N/A,3.00,Withdrawn (treated as Reject),Reject,N/A,0.0098,2.0,2.0,4.0,4.0,,,
ewdqbKskUL,7.0,N/A,4.00,Reject,Reject,N/A,0.0274,4.0,2.0,6.0,4.0,,,
oBXfPyi47m,7.5,N/A,8.00,Accept (Poster),Accept,N/A,0.0284,6.0,10.0,8.0,8.0,,,
nHrYBGujps,5.5,N/A,7.50,Accept (Oral),Accept,N/A,0.0385,6.0,8.0,8.0,8.0,,,
B5NEdEQH1K,7.0,N/A,4.50,Reject,Reject,N/A,0.0163,8.0,2.0,4.0,4.0,,,
XJXZXuTj11,7.5,N/A,6.80,Accept (Poster),Accept,N/A,0.0418,6.0,6.0,8.0,8.0,6.0,,
yk3QBsB43u,7.5,N/A,5.00,Reject,Reject,N/A,0.0342,8.0,2.0,4.0,6.0,,,
3iHQ97INBP,5.0,N/A,3.33,Reject,Reject,N/A,0.0438,6.0,4.0,0.0,,,,
HAP8useYqu,7.2,N/A,4.00,Reject,Reject,N/A,0.0084,6.0,2.0,4.0,4.0,,,
zmYx32SSOR,3.5,N/A,1.00,Reject,Reject,N/A,0.0160,0.0,0.0,2.0,2.0,,,
txiGUfI4yF,6.5,N/A,7.33,Accept (Poster),Accept,N/A,0.0430,6.0,10.0,6.0,,,,
Op6Scc62ME,7.0,N/A,3.50,Reject,Reject,N/A,0.0534,4.0,2.0,4.0,4.0,,,
9X2NfyZpR2,7.5,N/A,3.00,Reject,Reject,N/A,0.0149,2.0,4.0,2.0,4.0,,,
azsnOWy9MZ,7.5,N/A,5.33,Reject,Reject,N/A,0.0198,6.0,6.0,4.0,,,,
yX1Nn63DwQ,3.0,N/A,0.50,Reject,Reject,N/A,0.0087,0.0,0.0,2.0,0.0,,,
ZS4fa5FgTD,7.0,N/A,2.67,Withdrawn (treated as Reject),Reject,N/A,0.0258,4.0,2.0,2.0,,,,
9gw03JpKK4,7.5,N/A,8.00,Accept (Oral),Accept,N/A,0.0240,10.0,6.0,8.0,,,,
Ilnbgf1eeS,4.5,N/A,1.00,Withdrawn (treated as Reject),Reject,N/A,0.0106,0.0,0.0,2.0,2.0,,,
cyQUZDMpg3,7.5,N/A,6.00,Accept (Poster),Accept,N/A,0.0267,8.0,4.0,6.0,6.0,,,
L2rfd2Czbj,7.8,N/A,6.67,Accept (Poster),Accept,N/A,0.0358,6.0,6.0,8.0,,,,
FMjeC9Msws,7.5,N/A,7.50,Accept (Oral),Accept,N/A,0.0257,8.0,6.0,8.0,8.0,,,
xDO0239YOm,4.5,N/A,1.33,Reject,Reject,N/A,0.0139,2.0,0.0,2.0,,,,
ndIEb3Bghf,3.5,N/A,1.33,Reject,Reject,N/A,0.0212,0.0,2.0,2.0,,,,
EsumhpzFK9,4.5,N/A,2.00,Withdrawn (treated as Reject),Reject,N/A,0.0114,2.0,2.0,2.0,2.0,,,
N8ntZEb4Ap,7.0,N/A,2.33,Withdrawn (treated as Reject),Reject,N/A,0.0196,2.0,0.0,2.0,2.0,4.0,4.0,
bbuxDoRD2D,7.0,N/A,6.00,Accept (Poster),Accept,N/A,0.0136,6.0,6.0,6.0,6.0,,,
VjGU55hEwV,5.0,N/A,2.50,Reject,Reject,N/A,0.0164,2.0,2.0,2.0,4.0,,,
DjxNqXsApM,5.0,N/A,3.00,Reject,Reject,N/A,0.0254,2.0,2.0,4.0,4.0,,,
