paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
ZMzha5gbnF,7.5,N/A,7.00,Accept (Poster),Accept,N/A,0.0089,6.0,6.0,8.0,8.0,,,
1E4Bltg6Xb,5.5,N/A,4.67,Accept (Poster),Accept,N/A,0.0059,6.0,6.0,2.0,,,,
WwDNiisZQm,7.5,N/A,4.00,Accept (Poster),Accept,N/A,0.0079,6.0,2.0,4.0,4.0,,,
aiM6bRd6bG,5.5,N/A,4.00,Reject,Reject,N/A,0.0192,4.0,2.0,6.0,4.0,,,
Pa6ak2B9jJ,7.2,N/A,5.33,Accept (Poster),Accept,N/A,0.0083,6.0,6.0,4.0,,,,
1EdAn5gMVv,7.0,N/A,5.00,Reject,Reject,N/A,0.0275,6.0,8.0,2.0,4.0,,,
Vit5M0G5Gb,7.5,N/A,6.00,Accept (Poster),Accept,N/A,0.0147,8.0,6.0,4.0,6.0,6.0,,
pNpnqsn0Si,7.0,N/A,3.00,Reject,Reject,N/A,0.0077,4.0,2.0,4.0,2.0,,,
cEXEmyW77N,7.5,N/A,5.00,Accept (Poster),Accept,N/A,0.0080,4.0,6.0,6.0,4.0,,,
crKJJ4Ej60,7.2,N/A,5.33,Accept (Poster),Accept,N/A,0.0083,4.0,6.0,6.0,,,,
wgGJE6Z1B3,7.0,N/A,5.50,Accept (Poster),Accept,N/A,0.0338,8.0,6.0,4.0,4.0,,,
iDki7djO2K,7.0,N/A,4.00,Reject,Reject,N/A,0.0291,4.0,4.0,4.0,4.0,,,
QryPmx2MNh,7.2,N/A,3.50,Withdrawn (treated as Reject),Reject,N/A,0.0173,4.0,4.0,2.0,4.0,,,
ahpO7S1Ppi,7.0,N/A,3.50,Reject,Reject,N/A,0.0232,2.0,4.0,4.0,4.0,,,
bm3rbtEMFj,7.5,N/A,5.00,Accept (Poster),Accept,N/A,0.0335,6.0,6.0,4.0,4.0,,,
PFhrOUJZ5o,7.5,N/A,5.00,Reject,Reject,N/A,0.0307,4.0,4.0,6.0,6.0,,,
FlcMckO6x5,7.0,N/A,6.00,Accept (Poster),Accept,N/A,0.0533,6.0,8.0,4.0,6.0,,,
j3htU5i01r,5.0,N/A,4.00,Reject,Reject,N/A,0.0178,2.0,2.0,8.0,4.0,,,
JEN4nsDgh9,7.0,N/A,3.50,Reject,Reject,N/A,0.0320,4.0,4.0,2.0,4.0,,,
X2yzXtH4wp,7.2,N/A,5.33,Accept (Poster),Accept,N/A,0.0159,6.0,6.0,4.0,,,,
b6qQmQ2F13,7.0,N/A,5.00,Accept (Poster),Accept,N/A,0.0193,2.0,6.0,6.0,6.0,,,
iaoAKDRAJQ,7.5,N/A,6.00,Accept (Poster),Accept,N/A,0.0811,8.0,4.0,6.0,6.0,,,
0cbUKCyBsH,5.0,N/A,3.50,Reject,Reject,N/A,0.0433,4.0,2.0,4.0,4.0,,,
rBj2iVyrhh,7.5,N/A,2.00,Reject,Reject,N/A,0.0138,2.0,2.0,2.0,2.0,,,
Kw2mvnzCoc,7.5,N/A,4.50,Accept (Poster),Accept,N/A,0.0869,6.0,6.0,4.0,2.0,,,
CTEXdHB1BB,7.5,N/A,5.00,Accept (Poster),Accept,N/A,0.0225,6.0,4.0,2.0,8.0,,,
ZBhZT307xx,7.5,N/A,3.00,Withdrawn (treated as Reject),Reject,N/A,0.0246,4.0,2.0,4.0,2.0,,,
Vgm77U4ojX,8.0,N/A,6.00,Accept (Poster),Accept,N/A,0.0464,6.0,8.0,6.0,4.0,6.0,,
ngOOlatCK6,7.0,N/A,5.33,Reject,Reject,N/A,0.0381,6.0,6.0,4.0,,,,
3icvqeC1sA,7.5,N/A,4.50,Reject,Reject,N/A,0.0418,6.0,2.0,4.0,6.0,,,
GiaF5cFIpI,7.0,N/A,3.50,Reject,Reject,N/A,0.0226,6.0,2.0,4.0,2.0,,,
