paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
A1HhtITVEi,6.5,Accept,6.00,Accept (Poster),Accept,YES,0.0587,6.0,6.0,5.0,8.0,5.0,,
YkMg8sB8AH,5.5,Accept,4.25,Reject,Reject,NO,0.0424,3.0,5.0,3.0,6.0,,,
c61unr33XA,6.5,Accept,7.00,Accept (Poster),Accept,YES,0.0504,6.0,8.0,8.0,6.0,,,
LbgIZpSUCe,6.5,Accept,7.33,Accept (Spotlight),Accept,YES,0.0428,6.0,8.0,8.0,,,,
rPup1cWk4d,3.7,Reject,3.00,Reject,Reject,YES,0.0520,1.0,3.0,5.0,3.0,,,
EqCbc4wrzy,4.0,Reject,2.50,Reject,Reject,YES,0.0358,3.0,1.0,3.0,3.0,,,
UUwrBhhsxT,5.5,Accept,5.25,Reject,Reject,NO,0.0448,5.0,3.0,5.0,8.0,,,
LJULZNlW5d,3.7,Reject,3.00,Reject,Reject,YES,0.0367,3.0,1.0,3.0,5.0,,,
1aF2D2CPHi,5.5,Accept,8.00,Accept (Oral),Accept,YES,0.0514,8.0,6.0,10.0,8.0,,,
OXIIFZqiiN,3.5,Reject,1.50,Reject,Reject,YES,0.0370,1.0,1.0,3.0,1.0,,,
VpWki1v2P8,6.5,Accept,8.67,Accept (Oral),Accept,YES,0.0456,8.0,8.0,10.0,,,,
H25xduunIK,5.5,Accept,5.75,Reject,Reject,NO,0.0518,5.0,5.0,8.0,5.0,,,
MFZjrTFE7h,6.2,Accept,7.50,Accept (Spotlight),Accept,YES,0.0434,8.0,8.0,8.0,6.0,,,
bEvI30Hb2W,4.2,Reject,3.00,Reject,Reject,YES,0.0351,3.0,3.0,3.0,3.0,,,
LyJi5ugyJx,7.0,Accept,9.20,Accept (Oral),Accept,YES,0.0592,8.0,10.0,8.0,10.0,10.0,,
p1HeFnn2AA,5.5,Accept,7.33,Reject,Reject,NO,0.0514,6.0,8.0,8.0,,,,
L9j8exYGUJ,6.5,Accept,5.00,Reject,Reject,NO,0.0487,6.0,3.0,6.0,5.0,,,
PigfMZMHq1,4.5,Reject,3.67,Reject,Reject,YES,0.0555,5.0,3.0,3.0,,,,
cLws58ZojF,6.5,Accept,3.00,Reject,Reject,NO,0.0398,3.0,3.0,3.0,3.0,,,
7Cx05z4pUc,5.5,Accept,5.00,Reject,Reject,NO,0.0548,6.0,8.0,3.0,3.0,,,
m29SV0n6DO,5.0,Reject,4.25,Reject,Reject,YES,0.0448,1.0,3.0,8.0,5.0,,,
fBSc0c1IXJ,6.5,Accept,3.00,Reject,Reject,NO,0.0475,3.0,3.0,3.0,3.0,3.0,,
9AtlhmFVDi,5.5,Accept,5.50,Reject,Reject,NO,0.0503,3.0,6.0,5.0,8.0,,,
5XL8c0Vg9k,2.0,Reject,2.00,Reject,Reject,YES,0.0354,3.0,3.0,1.0,1.0,,,
u1cQYxRI1H,5.5,Accept,10.00,Accept (Oral),Accept,YES,0.0399,10.0,10.0,10.0,10.0,,,
SOd07Qxkw4,4.5,Reject,7.50,Accept (Spotlight),Accept,NO,0.0367,8.0,8.0,8.0,6.0,,,
OZVTqoli2N,6.5,Accept,7.50,Accept (Spotlight),Accept,YES,0.0566,6.0,8.0,8.0,8.0,,,
oYSsbY3G4o,6.5,Accept,6.40,Accept (Poster),Accept,YES,0.0493,8.0,5.0,6.0,5.0,8.0,,
sZQRUrvLn4,6.3,Accept,6.40,Accept (Spotlight),Accept,YES,0.0587,6.0,6.0,6.0,6.0,8.0,,
nwDRD4AMoN,7.2,Accept,9.00,Accept (Oral),Accept,YES,0.0537,10.0,10.0,8.0,8.0,,,
10kBEqYKKN,4.2,Reject,3.00,Reject,Reject,YES,0.0454,3.0,3.0,3.0,,,,
iSTMsye6SD,5.9,Accept,5.25,Reject,Reject,NO,0.0345,6.0,5.0,5.0,5.0,,,
MGceYYNvXp,5.3,Reject,1.50,Reject,Reject,YES,0.0339,1.0,1.0,1.0,3.0,,,
