paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
dBJpBmn5MH,1.0,N/A,1.00,Reject,Reject,N/A,0.0116,3.6597,2.0,2.0,0.0,0.0,,,
BjQqvH2LgW,2.5,N/A,3.50,Withdrawn (treated as Reject),Reject,N/A,0.0224,4.6559,2.0,4.0,6.0,2.0,,,
vQLUAkl5SG,6.0,N/A,5.50,Accept (Poster),Accept,N/A,0.0587,5.2860,4.0,6.0,6.0,6.0,,,
6zZGNJRO56,4.0,N/A,3.33,Withdrawn (treated as Reject),Reject,N/A,0.0354,3.2234,4.0,2.0,4.0,,,,
4S5x8yhJ5H,3.0,N/A,0.00,Withdrawn (treated as Reject),Reject,N/A,0.0170,1.7804,0.0,0.0,0.0,,,,
RlMCc0JTu4,2.0,N/A,0.00,Reject,Reject,N/A,0.0156,2.1898,0.0,0.0,0.0,0.0,,,
mytIKuRsSE,6.0,N/A,7.50,Accept (Oral),Accept,N/A,0.0457,2.7696,8.0,8.0,6.0,8.0,,,
Dxb9zYD23D,5.5,N/A,3.50,Withdrawn (treated as Reject),Reject,N/A,0.0227,2.6357,4.0,4.0,2.0,4.0,,,
41am4lUMuo,2.5,N/A,2.00,Reject,Reject,N/A,0.0390,4.0601,2.0,4.0,0.0,2.0,,,
zqA7Q9Q21L,4.5,N/A,5.60,Accept (Poster),Accept,N/A,0.0350,3.4372,8.0,4.0,4.0,8.0,4.0,,
DcVg87ibK9,7.0,N/A,7.33,Accept (Poster),Accept,N/A,0.0410,2.9008,8.0,8.0,6.0,,,,
mHRuCmc9lo,5.0,N/A,7.33,Accept (Poster),Accept,N/A,0.0365,2.3741,6.0,8.0,8.0,,,,
PemDVHC2KO,4.0,N/A,2.00,Reject,Reject,N/A,0.0228,3.5629,2.0,2.0,2.0,2.0,,,
dPAcHrG4rl,3.5,N/A,5.33,Accept (Poster),Accept,N/A,0.0343,2.9366,4.0,6.0,6.0,,,,
CVZFzsg1PJ,4.0,N/A,2.00,Withdrawn (treated as Reject),Reject,N/A,0.0188,2.9639,2.0,2.0,2.0,2.0,,,
qioDi3afqm,0.0,N/A,0.00,Withdrawn (treated as Reject),Reject,N/A,0.0069,0.7837,0.0,0.0,0.0,0.0,,,
