paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
zwfpyw345l,1.8,N/A,0.50,Reject,Reject,N/A,0.0128,0.0,0.0,2.0,0.0,,,
qbDnX2YC6F,5.8,N/A,4.50,Reject,Reject,N/A,0.0463,6.0,4.0,4.0,4.0,,,
9WiPZy3Kro,6.3,N/A,5.50,Accept (Poster),Accept,N/A,0.0442,6.0,4.0,6.0,6.0,,,
k60jAxVSv7,4.7,N/A,3.33,Reject,Reject,N/A,0.0217,2.0,6.0,2.0,,,,
FtL9eEmU6v,4.8,N/A,7.50,Accept (Oral),Accept,N/A,0.0282,6.0,10.0,8.0,6.0,,,
P1qlqfRtgo,0.0,N/A,2.00,Withdrawn (treated as Reject),Reject,N/A,0.0126,2.0,2.0,2.0,2.0,,,
6Y9NP1qhoM,4.3,N/A,5.00,Accept (Poster),Accept,N/A,0.0363,4.0,6.0,8.0,2.0,,,
UtFQNwWBaA,4.5,N/A,4.00,Reject,Reject,N/A,0.0418,4.0,6.0,2.0,4.0,,,
do4hqhMBiu,1.3,N/A,0.00,Reject,Reject,N/A,0.0120,0.0,0.0,0.0,,,,
lSM6MtjQcM,5.0,N/A,5.50,Accept (Poster),Accept,N/A,0.0304,2.0,6.0,10.0,4.0,,,
4VW9HVCRw0,5.4,N/A,7.00,Accept (Poster),Accept,N/A,0.0332,8.0,8.0,6.0,6.0,,,
ao7VBbvWIK,2.0,N/A,1.00,Withdrawn (treated as Reject),Reject,N/A,0.0134,2.0,0.0,,,,,
83F6YF4Hz6,6.2,N/A,6.00,Accept (Poster),Accept,N/A,0.0375,6.0,6.0,4.0,8.0,,,
r99m9ziONQ,5.3,N/A,6.00,Accept (Poster),Accept,N/A,0.0419,6.0,6.0,6.0,6.0,,,
Op6Scc62ME,5.8,N/A,3.50,Reject,Reject,N/A,0.0729,4.0,2.0,4.0,4.0,,,
Q4KIDjDDRJ,5.0,N/A,3.00,Reject,Reject,N/A,0.0319,4.0,4.0,2.0,2.0,,,
EQhUvWH78U,7.6,N/A,6.67,Accept (Oral),Accept,N/A,0.0492,8.0,4.0,8.0,,,,
v8lXG3Z1PB,1.5,N/A,0.00,Withdrawn (treated as Reject),Reject,N/A,0.0090,0.0,0.0,0.0,,,,
RT5SlprCmc,5.3,N/A,4.50,Reject,Reject,N/A,0.0379,6.0,6.0,2.0,4.0,,,
ASwVqmDOv9,6.4,N/A,5.00,Reject,Reject,N/A,0.0560,8.0,4.0,4.0,4.0,,,
4Grhy3DAZi,3.3,N/A,2.00,Withdrawn (treated as Reject),Reject,N/A,0.0342,0.0,4.0,2.0,2.0,,,
qNlTH4kYJZ,6.2,N/A,7.00,Accept (Oral),Accept,N/A,0.0651,8.0,8.0,4.0,8.0,,,
cv7EXSvOQg,2.4,N/A,0.40,Withdrawn (treated as Reject),Reject,N/A,0.0100,0.0,2.0,0.0,0.0,0.0,,
n3u7PK2kyd,6.8,N/A,2.00,Withdrawn (treated as Reject),Reject,N/A,0.0342,2.0,2.0,2.0,2.0,2.0,,
FkTEc3XEL6,2.1,N/A,0.50,Withdrawn (treated as Reject),Reject,N/A,0.0133,0.0,0.0,2.0,0.0,,,
kkBOIsrCXh,6.1,N/A,8.00,Accept (Poster),Accept,N/A,0.0422,6.0,8.0,8.0,10.0,,,
QGXVZ0OPLy,5.2,N/A,5.00,Accept (Poster),Accept,N/A,0.0220,4.0,4.0,6.0,6.0,,,
yk3QBsB43u,4.5,N/A,5.00,Reject,Reject,N/A,0.0476,8.0,2.0,4.0,6.0,,,
5WecBhuCyF,3.8,N/A,3.00,Withdrawn (treated as Reject),Reject,N/A,0.0150,4.0,2.0,2.0,4.0,,,
u4N7Kl6gzE,4.8,N/A,5.00,Accept (Poster),Accept,N/A,0.0511,4.0,8.0,2.0,6.0,,,
Rj5ZJk956j,6.5,N/A,4.67,Reject,Reject,N/A,0.0772,4.0,2.0,8.0,,,,
pVVDN6dgLv,4.3,N/A,3.00,Withdrawn (treated as Reject),Reject,N/A,0.0375,2.0,2.0,2.0,6.0,,,
qkKUG56s5r,3.5,N/A,1.33,Withdrawn (treated as Reject),Reject,N/A,0.0223,2.0,0.0,2.0,,,,
ZS4fa5FgTD,3.5,N/A,2.67,Withdrawn (treated as Reject),Reject,N/A,0.0347,4.0,2.0,2.0,,,,
5o0zF03RP9,2.8,N/A,0.50,Withdrawn (treated as Reject),Reject,N/A,0.0141,2.0,0.0,0.0,0.0,,,
m5KplPzCzM,5.6,N/A,5.33,Accept (Poster),Accept,N/A,0.0299,8.0,4.0,4.0,,,,
jrY5Sh1pIh,4.2,N/A,2.00,Withdrawn (treated as Reject),Reject,N/A,0.0242,2.0,2.0,2.0,2.0,,,
lfsjVdi72l,4.3,N/A,4.00,Accept (Poster),Accept,N/A,0.0336,4.0,6.0,2.0,,,,
TJWhvS5JXg,3.4,N/A,1.20,Withdrawn (treated as Reject),Reject,N/A,0.0155,0.0,0.0,2.0,2.0,2.0,,
y3oHMcoItR,6.5,N/A,7.50,Accept (Oral),Accept,N/A,0.0518,10.0,10.0,6.0,4.0,,,
Gk7gLAtVDO,6.3,N/A,7.50,Accept (Oral),Accept,N/A,0.0270,8.0,8.0,8.0,6.0,,,
N8ntZEb4Ap,3.1,N/A,2.33,Withdrawn (treated as Reject),Reject,N/A,0.0266,2.0,0.0,2.0,2.0,4.0,4.0,
oG3UEPs0Ov,1.5,N/A,0.50,Withdrawn (treated as Reject),Reject,N/A,0.0145,0.0,0.0,2.0,0.0,,,
WgMZPsdJmC,1.3,N/A,0.50,Reject,Reject,N/A,0.0148,0.0,0.0,2.0,0.0,,,
AjaicwLUmj,1.0,N/A,1.00,Reject,Reject,N/A,0.0075,0.0,2.0,2.0,0.0,,,
bhR00j6Mku,6.5,N/A,6.67,Accept (Poster),Accept,N/A,0.0501,8.0,6.0,6.0,,,,
l5zZ2EEijD,6.2,N/A,6.50,Accept (Poster),Accept,N/A,0.0549,6.0,8.0,6.0,6.0,,,
Ic65R0Tbc1,6.8,N/A,5.00,Reject,Reject,N/A,0.0541,4.0,6.0,8.0,2.0,,,
aZFjp5wqck,4.8,N/A,4.00,Reject,Reject,N/A,0.0320,2.0,6.0,4.0,4.0,,,
txiGUfI4yF,5.8,N/A,7.33,Accept (Poster),Accept,N/A,0.0573,6.0,10.0,6.0,,,,
pPa5mIFj5p,4.3,N/A,2.50,Reject,Reject,N/A,0.0271,2.0,2.0,2.0,4.0,,,
TjF9WLcu8o,1.5,N/A,0.00,Reject,Reject,N/A,0.0129,0.0,0.0,0.0,0.0,,,
LIG31I6ArY,3.8,N/A,2.50,Withdrawn (treated as Reject),Reject,N/A,0.0511,4.0,2.0,2.0,2.0,,,
bbuxDoRD2D,5.1,N/A,6.00,Accept (Poster),Accept,N/A,0.0179,6.0,6.0,6.0,6.0,,,
xVB9AivJa5,3.8,N/A,1.33,Reject,Reject,N/A,0.0112,0.0,2.0,2.0,,,,
Ilnbgf1eeS,3.1,N/A,1.00,Withdrawn (treated as Reject),Reject,N/A,0.0164,0.0,0.0,2.0,2.0,,,
azsnOWy9MZ,5.7,N/A,5.33,Reject,Reject,N/A,0.0296,6.0,6.0,4.0,,,,
VoKut0M4bI,4.6,N/A,5.00,Reject,Reject,N/A,0.0333,4.0,8.0,6.0,2.0,,,
uP6RDWHcs7,5.8,N/A,1.33,Withdrawn (treated as Reject),Reject,N/A,0.0304,2.0,0.0,2.0,,,,
pfw176o1YJ,6.8,N/A,7.00,Accept (Oral),Accept,N/A,0.0444,8.0,8.0,6.0,6.0,,,
4OF7DQA3yW,4.8,N/A,1.33,Withdrawn (treated as Reject),Reject,N/A,0.0231,0.0,2.0,2.0,,,,
zmYx32SSOR,2.0,N/A,1.00,Reject,Reject,N/A,0.0197,0.0,0.0,2.0,2.0,,,
qCfYOLAzti,6.4,N/A,6.00,Accept (Poster),Accept,N/A,0.0471,6.0,6.0,4.0,8.0,,,
pcaHnwjnsO,2.2,N/A,1.50,Reject,Reject,N/A,0.0131,0.0,0.0,6.0,0.0,,,
vQLUAkl5SG,5.3,N/A,5.50,Accept (Poster),Accept,N/A,0.0571,4.0,6.0,6.0,6.0,,,
EsumhpzFK9,4.2,N/A,2.00,Withdrawn (treated as Reject),Reject,N/A,0.0146,2.0,2.0,2.0,2.0,,,
Rd0yhdfueL,2.6,N/A,1.00,Reject,Reject,N/A,0.0144,2.0,0.0,0.0,2.0,,,
dwgtYTuSaS,4.8,N/A,3.00,Withdrawn (treated as Reject),Reject,N/A,0.0372,4.0,2.0,2.0,4.0,,,
b36drMoKir,4.0,N/A,0.50,Withdrawn (treated as Reject),Reject,N/A,0.0256,0.0,0.0,0.0,2.0,,,
pzXAS6Tf2r,,N/A,4.80,Reject,Reject,N/A,0.0000,4.0,6.0,4.0,8.0,2.0,,
UnvaQLYFMJ,,N/A,3.50,Withdrawn (treated as Reject),Reject,N/A,0.0000,4.0,4.0,4.0,2.0,,,
ACn1rbjlFB,,N/A,4.50,Reject,Reject,N/A,0.0000,6.0,4.0,4.0,4.0,,,
anLMfUzl0C,,N/A,3.33,Withdrawn (treated as Reject),Reject,N/A,0.0000,4.0,4.0,2.0,,,,
2eAGrunxVz,,N/A,7.50,Accept (Oral),Accept,N/A,0.0000,8.0,8.0,8.0,6.0,,,
gkTx4sPyAw,,N/A,1.00,Reject,Reject,N/A,0.0000,0.0,2.0,2.0,0.0,,,
gHPRSPxIsk,,N/A,7.00,Accept (Poster),Accept,N/A,0.0000,8.0,6.0,8.0,6.0,,,
YkfhTzq3hL,,N/A,4.50,Reject,Reject,N/A,0.0000,6.0,8.0,2.0,2.0,,,
4S5x8yhJ5H,,N/A,0.00,Withdrawn (treated as Reject),Reject,N/A,0.0000,0.0,0.0,0.0,,,,
beV5wMTRIq,,N/A,2.00,Withdrawn (treated as Reject),Reject,N/A,0.0000,2.0,2.0,2.0,2.0,,,
kI27Niy4xY,,N/A,8.00,Accept (Oral),Accept,N/A,0.0000,8.0,8.0,8.0,8.0,,,
9rvefNQN1C,,N/A,3.00,Withdrawn (treated as Reject),Reject,N/A,0.0000,2.0,2.0,4.0,4.0,,,
BVnIsh4Nz1,,N/A,7.00,Accept (Oral),Accept,N/A,0.0000,6.0,8.0,8.0,6.0,,,
80JylHgQn1,,N/A,7.00,Accept (Oral),Accept,N/A,0.0000,8.0,6.0,8.0,6.0,,,
SkmkGKEZ1U,,N/A,0.50,Reject,Reject,N/A,0.0000,0.0,0.0,2.0,0.0,,,
dUgq4bLY4X,,N/A,6.67,Accept (Poster),Accept,N/A,0.0000,8.0,4.0,8.0,,,,
ZfdnZhOP0k,,N/A,7.50,Accept (Oral),Accept,N/A,0.0000,8.0,6.0,8.0,8.0,,,
51n0n1Lpdt,,N/A,4.00,Reject,Reject,N/A,0.0000,6.0,2.0,4.0,4.0,4.0,,
ndIEb3Bghf,,N/A,1.33,Reject,Reject,N/A,0.0000,0.0,2.0,2.0,,,,
xDO0239YOm,,N/A,1.33,Reject,Reject,N/A,0.0000,2.0,0.0,2.0,,,,
L2rfd2Czbj,,N/A,6.67,Accept (Poster),Accept,N/A,0.0000,6.0,6.0,8.0,,,,
