paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
OpNMWVDdKS,5.3,Accept,5.75,Reject,Reject,NO,0.0194,0.0000,6.0,6.0,6.0,5.0,,,
TvfkSyHZRA,6.8,Accept,7.00,Accept (Poster),Accept,YES,0.0187,0.0000,6.0,8.0,8.0,5.0,8.0,,
Ah3n8U3kRT,5.5,Accept,5.50,Reject,Reject,NO,0.0219,0.0000,5.0,6.0,5.0,6.0,,,
HmwneoGoy9,6.8,Accept,5.25,Reject,Reject,NO,0.0196,0.0000,5.0,5.0,5.0,6.0,,,
0YkZe9nwiC,4.4,Reject,3.00,Reject,Reject,YES,0.0207,0.0000,3.0,3.0,3.0,3.0,3.0,,
8bjspmAMBk,5.4,Accept,7.50,Accept (Spotlight),Accept,YES,0.0202,0.0000,8.0,6.0,8.0,8.0,,,
CvGqMD5OtX,6.4,Accept,6.25,Accept (Poster),Accept,YES,0.0184,0.0000,5.0,8.0,6.0,6.0,,,
9GsgCUJtic,6.8,Accept,7.33,Accept (Spotlight),Accept,YES,0.0238,0.0000,8.0,8.0,6.0,,,,
HJp1g4w1Or,4.3,Reject,4.00,Reject,Reject,YES,0.0176,0.0000,3.0,3.0,5.0,5.0,,,
aWXnKanInf,7.2,Accept,8.00,Accept (Oral),Accept,YES,0.0193,0.0000,8.0,8.0,8.0,,,,
7wuJMvK639,6.8,Accept,6.50,Accept (Poster),Accept,YES,0.0200,0.0000,5.0,5.0,8.0,8.0,,,
DRiLWb8bJg,6.2,Accept,7.50,Accept (Spotlight),Accept,YES,0.0201,0.0000,8.0,8.0,8.0,6.0,,,
6hJ3khuJY4,5.4,Accept,5.25,Reject,Reject,NO,0.0209,0.0000,5.0,5.0,6.0,5.0,,,
YFKH1vO0W2,5.8,Accept,5.25,Reject,Reject,NO,0.0201,0.0000,5.0,5.0,5.0,6.0,,,
1F8xTfv6ah,5.8,Accept,5.25,Accept (Poster),Accept,YES,0.0230,0.0000,5.0,6.0,5.0,5.0,,,
MB53uAZKSc,6.7,Accept,6.25,Reject,Reject,NO,0.0219,0.0000,6.0,5.0,8.0,6.0,,,
E6kQ51yfAj,6.2,Accept,4.50,Reject,Reject,NO,0.0171,0.0000,5.0,3.0,5.0,5.0,,,
3ep9ZYMZS3,5.8,Accept,5.00,Accept (Poster),Accept,YES,0.0177,0.0000,3.0,3.0,6.0,8.0,,,
UL95EpgrlS,5.3,Accept,5.00,Reject,Reject,NO,0.0191,0.0000,3.0,5.0,6.0,5.0,6.0,,
PcE0yAGAGW,3.2,Reject,2.20,Reject,Reject,YES,0.0183,0.0000,3.0,3.0,1.0,3.0,1.0,,
DDxLsxiZR8,4.3,Reject,4.00,Reject,Reject,YES,0.0190,0.0000,5.0,5.0,3.0,3.0,,,
5sU32OCxgZ,5.5,Accept,6.00,Accept (Poster),Accept,YES,0.0184,0.0000,6.0,6.0,6.0,6.0,,,
FyMjfDQ9RO,6.8,Accept,6.75,Accept (Poster),Accept,YES,0.0206,0.0000,5.0,8.0,8.0,6.0,,,
8w22WLy2R8,5.6,Accept,5.25,Reject,Reject,NO,0.0187,0.0000,6.0,5.0,5.0,5.0,,,
RWJX5F5I9g,5.2,Accept,8.00,Accept (Oral),Accept,YES,0.0190,0.0000,8.0,8.0,8.0,,,,
HNJJEWfo0Z,4.2,Reject,3.75,Reject,Reject,YES,0.0160,0.0000,3.0,6.0,3.0,3.0,,,
IoonroIpfD,3.2,Reject,2.50,Reject,Reject,YES,0.0176,0.0000,3.0,1.0,3.0,3.0,,,
HqLHY4TzGj,5.2,Accept,7.25,Accept (Spotlight),Accept,YES,0.0155,0.0000,8.0,5.0,8.0,8.0,,,
bB0OKNpznp,4.2,Reject,6.00,Accept (Poster),Accept,NO,0.0193,0.0000,6.0,6.0,6.0,6.0,6.0,,
PTcMzQgKmn,6.4,Accept,6.25,Accept (Poster),Accept,YES,0.0218,0.0000,6.0,5.0,8.0,6.0,,,
GcbhbZsgiu,5.8,Accept,5.00,Accept (Poster),Accept,YES,0.0228,0.0000,6.0,3.0,6.0,,,,
K4YMFdx2Z2,6.2,Accept,5.67,Reject,Reject,NO,0.0209,0.0000,6.0,5.0,6.0,,,,
4hdDPa9bpI,5.8,Accept,4.75,Reject,Reject,NO,0.0206,0.0000,8.0,5.0,3.0,3.0,,,
RwiUmrEHgR,3.2,Reject,3.00,Reject,Reject,YES,0.0180,0.0000,3.0,3.0,3.0,3.0,,,
bGkPZtisSm,5.1,Accept,5.25,Reject,Reject,NO,0.0169,0.0000,6.0,5.0,5.0,5.0,,,
3b9SKkRAKw,6.2,Accept,8.00,Accept (Spotlight),Accept,YES,0.0199,0.0000,8.0,8.0,8.0,8.0,,,
EyaH1wzmao,5.5,Accept,6.33,Accept (Poster),Accept,YES,0.0177,0.0000,8.0,3.0,8.0,,,,
2OMyAFjiJJ,6.5,Accept,6.00,Accept (Poster),Accept,YES,0.0198,0.0000,6.0,6.0,6.0,6.0,,,
2pJpFtdVNe,6.2,Accept,6.80,Accept (Poster),Accept,YES,0.0214,0.0000,8.0,8.0,6.0,6.0,6.0,,
AExygKPmnJ,6.2,Accept,5.20,Reject,Reject,NO,0.0196,0.0000,8.0,5.0,3.0,5.0,5.0,,
9UoBuhVNh6,6.4,Accept,6.33,Reject,Reject,NO,0.0205,0.0000,6.0,8.0,5.0,,,,
1uLW9eYNJB,6.2,Accept,6.50,Accept (Poster),Accept,YES,0.0185,0.0000,6.0,6.0,6.0,8.0,,,
