paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
CPhqrV5Ehg,6.0,Accept,6.00,Reject,Reject,NO,0.0000,0.0000,8.0,3.0,5.0,6.0,8.0,,
dxMffCAd4w,3.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,3.0,1.0,3.0,3.0,,,
eFoj2egr7G,5.5,Reject,6.00,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,8.0,5.0,6.0,,
1iuaxjssVp,5.5,Reject,7.25,Accept (Spotlight),Accept,NO,0.0000,0.0000,8.0,5.0,8.0,8.0,,,
bB0OKNpznp,3.0,Reject,6.00,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,6.0,6.0,6.0,,
Bt1vnCnAVS,5.5,Reject,6.25,Accept (Poster),Accept,NO,0.0000,0.0000,5.0,8.0,6.0,6.0,,,
cGu5LtGcRD,5.0,Reject,4.75,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,5.0,6.0,,,
GUd6zTrTBb,4.0,Reject,5.25,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,5.0,5.0,,,
Acvo2RGSCy,5.5,Reject,7.33,Accept (Spotlight),Accept,NO,0.0000,0.0000,8.0,6.0,8.0,,,,
RwiUmrEHgR,3.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,3.0,,,
TjuS86sQv8,4.0,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,3.0,5.0,,,
cRR0oDFEBC,6.5,Accept,7.20,Accept (Spotlight),Accept,YES,0.0000,0.0000,6.0,8.0,8.0,8.0,6.0,,
Ev4iw23gdI,5.0,Reject,6.00,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,6.0,6.0,,,
BWuBDdXVnH,6.0,Accept,6.25,Accept (Poster),Accept,YES,0.0000,0.0000,5.0,6.0,8.0,6.0,,,
FHQDCQFD8y,3.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,3.0,,,
hRwxZmcvW9,6.0,Accept,6.00,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,6.0,,,,
aWXnKanInf,6.5,Accept,8.00,Accept (Oral),Accept,YES,0.0000,0.0000,8.0,8.0,8.0,,,,
l6QnSQizmN,6.0,Accept,7.25,Accept (Spotlight),Accept,YES,0.0000,0.0000,5.0,8.0,8.0,8.0,,,
1YYp1rPRlm,5.0,Reject,5.75,Reject,Reject,YES,0.0000,0.0000,6.0,6.0,6.0,5.0,,,
q6hEuC48Dk,3.5,Reject,3.80,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,3.0,5.0,3.0,,
DRiLWb8bJg,7.0,Accept,7.50,Accept (Spotlight),Accept,YES,0.0000,0.0000,8.0,8.0,8.0,6.0,,,
0GC81gpjOo,4.5,Reject,4.50,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,6.0,6.0,,,
