paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
9VMW4iXfKt,6.0,Accept,5.50,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,5.0,6.0,5.0,,,
bB0OKNpznp,4.0,Reject,6.00,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,6.0,6.0,6.0,,
DKA7Hx7PSt,6.0,Accept,5.50,Reject,Reject,NO,0.0000,0.0000,6.0,6.0,5.0,5.0,,,
9hpcTgztk8,5.0,Reject,4.25,Reject,Reject,YES,0.0000,0.0000,5.0,6.0,3.0,3.0,,,
GPDcvoFGOL,6.5,Accept,6.75,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,8.0,6.0,5.0,,,
iMI4HRpZFc,5.0,Reject,5.25,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,5.0,5.0,,,
Y4aWwRh25b,6.0,Accept,6.75,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,6.0,8.0,5.0,,,
57EjN072hl,4.5,Reject,4.33,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,5.0,,,,
Vi1PJjvEdh,4.5,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,1.0,3.0,,,
YK8eO7BEkJ,4.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,,,,
5sU32OCxgZ,5.0,Reject,6.00,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,6.0,6.0,,,
fgaNjiijS1,5.0,Reject,5.75,Reject,Reject,YES,0.0000,0.0000,8.0,6.0,6.0,3.0,,,
Fu0aggezN9,4.5,Reject,7.00,Accept (Poster),Accept,NO,0.0000,0.0000,8.0,6.0,8.0,6.0,,,
i8LCUpKvAz,7.0,Accept,7.00,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,8.0,8.0,6.0,,,
aMBSY2ebPw,6.5,Accept,7.33,Accept (Spotlight),Accept,YES,0.0000,0.0000,6.0,8.0,8.0,,,,
1yJP5TVWih,5.0,Reject,6.25,Accept (Poster),Accept,NO,0.0000,0.0000,5.0,8.0,6.0,6.0,,,
PcE0yAGAGW,2.5,Reject,2.20,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,1.0,3.0,1.0,,
F0Zd3knG9j,6.0,Accept,5.00,Reject,Reject,NO,0.0000,0.0000,5.0,5.0,5.0,,,,
EW6bNEqalF,5.5,Reject,7.00,Accept (Poster),Accept,NO,0.0000,0.0000,8.0,8.0,6.0,6.0,,,
7ZToWPWUlO,5.0,Reject,4.75,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,3.0,5.0,,,
iXbUquaWbl,6.0,Accept,6.50,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,8.0,6.0,,,
bBoetBIN2R,4.5,Reject,6.25,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,8.0,5.0,6.0,,,
gVnJFY8nCM,6.0,Accept,6.25,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,8.0,5.0,6.0,,,
FFwoaUFBVC,4.5,Reject,4.67,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,6.0,,,,
kT6oc5CpEi,4.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,,,,
lTkHiXeuDl,5.0,Reject,6.00,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,6.0,6.0,,,
66NzcRQuOq,6.5,Accept,7.00,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,5.0,6.0,8.0,8.0,,
kFsWpSxkFz,5.5,Accept,7.50,Accept (Spotlight),Accept,YES,0.0000,0.0000,8.0,8.0,6.0,8.0,,,
5E6VOD7W0z,5.5,Accept,4.50,Reject,Reject,NO,0.0000,0.0000,5.0,5.0,5.0,3.0,,,
i3f2N3iHl0,2.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,3.0,5.0,1.0,1.0,,,
eFoj2egr7G,5.5,Reject,6.00,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,8.0,5.0,6.0,,
oegbNuUrXV,5.0,Reject,4.20,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,3.0,3.0,5.0,,
gpKEDj9Dgg,2.0,Reject,2.00,Reject,Reject,YES,0.0000,0.0000,1.0,5.0,1.0,1.0,,,
rpbzBXdo4x,6.0,Accept,5.00,Reject,Reject,NO,0.0000,0.0000,6.0,5.0,3.0,6.0,,,
5T3gpfUam7,6.0,Accept,4.67,Reject,Reject,NO,0.0000,0.0000,6.0,3.0,5.0,,,,
9mjZ800m7Y,6.0,Accept,6.50,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,6.0,6.0,6.0,,,
hKcDOfDxgn,4.5,Reject,3.75,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,6.0,,,
7d2JwGbxhA,6.0,Accept,5.75,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,8.0,3.0,,,
gAEEjGv5Oa,5.5,Reject,4.50,Reject,Reject,YES,0.0000,0.0000,3.0,6.0,6.0,3.0,,,
4LiegvCeQD,3.5,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,1.0,,,
7wuJMvK639,6.5,Accept,6.50,Accept (Poster),Accept,YES,0.0000,0.0000,5.0,5.0,8.0,8.0,,,
AC3713Fmhx,6.0,Accept,6.00,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,6.0,6.0,6.0,,
DCandSZ2F1,6.0,Accept,6.50,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,6.0,8.0,,,
q5zMyAUhGx,5.0,Reject,6.20,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,5.0,6.0,6.0,8.0,,
V7PYbRzD0h,5.0,Reject,5.33,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,6.0,,,,
u438df0Uce,5.0,Reject,3.60,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,3.0,6.0,,
tlH4vDii0E,4.5,Reject,5.60,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,5.0,6.0,6.0,,
BINwUtUGuq,5.0,Reject,5.25,Reject,Reject,YES,0.0000,0.0000,3.0,6.0,6.0,6.0,,,
OEC6zOuZG1,5.0,Reject,4.83,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,6.0,6.0,3.0,3.0,
A2rfALKFBg,5.0,Reject,4.67,Reject,Reject,YES,0.0000,0.0000,3.0,6.0,5.0,,,,
lbe3BiDCQr,4.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,3.0,,,
OW9elPTHcE,5.0,Reject,5.50,Reject,Reject,YES,0.0000,0.0000,6.0,3.0,8.0,5.0,,,
IXOoltTofP,3.5,Reject,3.75,Reject,Reject,YES,0.0000,0.0000,6.0,3.0,3.0,3.0,,,
9XETcRsufZ,6.5,Accept,7.00,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,8.0,6.0,6.0,,,
PdZkfSttGK,4.5,Reject,5.25,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,6.0,5.0,,,
J1J5eGJsKZ,5.0,Reject,6.67,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,8.0,,,,
thV5KRQFgQ,5.0,Reject,5.75,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,5.0,6.0,6.0,,,
HNJJEWfo0Z,3.5,Reject,3.75,Reject,Reject,YES,0.0000,0.0000,3.0,6.0,3.0,3.0,,,
CPhqrV5Ehg,5.5,Reject,6.00,Reject,Reject,YES,0.0000,0.0000,8.0,3.0,5.0,6.0,8.0,,
5dpuLgwQ0d,4.0,Reject,4.75,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,6.0,5.0,,,
QC2qE1tcmd,6.0,Accept,6.80,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,6.0,8.0,8.0,,
lW0ZndAimF,5.5,Reject,7.00,Accept (Poster),Accept,NO,0.0000,0.0000,8.0,6.0,8.0,6.0,6.0,8.0,
Bt1vnCnAVS,6.0,Accept,6.25,Accept (Poster),Accept,YES,0.0000,0.0000,5.0,8.0,6.0,6.0,,,
8fYvPCB0Ja,5.5,Accept,5.75,Reject,Reject,NO,0.0000,0.0000,6.0,8.0,6.0,3.0,,,
nDTvP6tBMd,5.0,Reject,6.50,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,8.0,6.0,,,
92vMaHotTM,5.5,Reject,5.50,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,5.0,5.0,,,
gI0kPklUKS,6.0,Accept,7.50,Accept (Spotlight),Accept,YES,0.0000,0.0000,6.0,8.0,8.0,8.0,,,
swvURjrt8z,6.5,Accept,6.00,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,6.0,6.0,6.0,,
2m5XI3nM46,5.5,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,3.0,6.0,6.0,5.0,,,
OYT7yZfBFw,5.0,Reject,6.25,Reject,Reject,YES,0.0000,0.0000,8.0,5.0,6.0,6.0,,,
0OzDMjPHa3,4.5,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,3.0,5.0,3.0,3.0,,,
HgSIfXTpBE,5.5,Reject,5.80,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,6.0,5.0,8.0,,
lNuGCXxvkn,6.0,Accept,5.25,Reject,Reject,NO,0.0000,0.0000,5.0,6.0,5.0,5.0,,,
qZz7PKt4bE,3.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,1.0,3.0,5.0,,,,
2xvisNIfdw,6.0,Accept,5.67,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,6.0,3.0,6.0,5.0,6.0,
syC2764fPc,5.5,Reject,6.00,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,6.0,6.0,,,
Fur0DtynPX,6.0,Accept,8.00,Accept (Oral),Accept,YES,0.0000,0.0000,8.0,8.0,8.0,8.0,,,
4IRYGvyevW,5.5,Reject,5.60,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,5.0,6.0,6.0,,
Cpr6Wv2tfr,5.5,Reject,6.25,Accept (Poster),Accept,NO,0.0000,0.0000,5.0,6.0,8.0,6.0,,,
VxIetsMu3G,5.5,Reject,5.25,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,5.0,6.0,,,
qHVUdP1EEU,4.5,Reject,5.25,Reject,Reject,YES,0.0000,0.0000,6.0,6.0,6.0,3.0,,,
FyMjfDQ9RO,7.0,Accept,6.75,Accept (Poster),Accept,YES,0.0000,0.0000,5.0,8.0,8.0,6.0,,,
dliIIodM6b,6.0,Accept,6.00,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,5.0,8.0,3.0,,,
FEZOLWexPb,4.5,Reject,6.50,Accept (Poster),Accept,NO,0.0000,0.0000,8.0,6.0,6.0,6.0,,,
TjP1d8PP8l,5.5,Reject,6.50,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,8.0,6.0,6.0,,,
