paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
70YeidEcYR,5.0,Reject,5.25,Reject,Reject,YES,0.0000,0.0000,6.0,6.0,6.0,3.0,,,
HNJJEWfo0Z,4.5,Reject,3.75,Reject,Reject,YES,0.0000,0.0000,3.0,6.0,3.0,3.0,,,
ezzmWTm8r6,5.5,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,5.0,5.0,,,
gzxDjnvBDa,6.0,Accept,7.00,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,8.0,6.0,6.0,,,
4IRYGvyevW,5.5,Reject,5.60,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,5.0,6.0,6.0,,
3Ofy2jNsNL,5.5,Accept,5.50,Reject,Reject,NO,0.0000,0.0000,3.0,3.0,8.0,8.0,,,
fDcn3S8oAt,5.5,Reject,5.25,Reject,Reject,YES,0.0000,0.0000,8.0,5.0,5.0,3.0,,,
tNn6Hskmti,5.5,Reject,6.25,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,5.0,8.0,,,
dGMJ93qpfq,5.0,Reject,5.20,Reject,Reject,YES,0.0000,0.0000,3.0,6.0,5.0,6.0,6.0,,
QSuOHV62IQ,5.5,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,5.0,,,
pqOjj90Vwp,5.5,Reject,8.00,Accept (Oral),Accept,NO,0.0000,0.0000,8.0,8.0,8.0,,,,
N83O2FcqzN,5.5,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,8.0,6.0,3.0,3.0,,,
S8nFZ98pmU,3.5,Reject,4.75,Reject,Reject,YES,0.0000,0.0000,5.0,6.0,5.0,3.0,,,
C0Ubo0XBPn,5.5,Reject,5.25,Reject,Reject,YES,0.0000,0.0000,5.0,6.0,5.0,5.0,,,
DzbUL4AJPP,4.5,Reject,5.60,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,5.0,6.0,5.0,6.0,,
FQhDIGuaJ4,6.0,Accept,6.80,Accept (Poster),Accept,YES,0.0000,0.0000,8.0,6.0,6.0,8.0,6.0,,
i4ouG6Kc8M,4.5,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,1.0,,,
lHBQrqVYji,5.5,Reject,5.00,Reject,Reject,YES,0.0000,0.0000,6.0,5.0,6.0,3.0,,,
TjuS86sQv8,4.0,Reject,4.00,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,3.0,5.0,,,
FPQzXME9NK,6.0,Reject,6.40,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,8.0,6.0,6.0,,
CEE9cAQJ10,5.0,Reject,4.67,Reject,Reject,YES,0.0000,0.0000,6.0,3.0,5.0,,,,
6e3hoDZKuO,4.5,Reject,3.50,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,5.0,3.0,,,
Eh1QM3OK51,4.0,Reject,6.00,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,6.0,6.0,6.0,,,
OovfCS4FYT,4.5,Reject,3.25,Reject,Reject,YES,0.0000,0.0000,1.0,6.0,3.0,3.0,,,
34syfledje,4.5,Reject,6.00,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,8.0,,,,
BZQmpsuW7D,3.5,Reject,5.75,Reject,Reject,YES,0.0000,0.0000,6.0,3.0,6.0,8.0,,,
58lbAsXCoZ,5.0,Reject,6.25,Accept (Poster),Accept,NO,0.0000,0.0000,1.0,10.0,6.0,8.0,,,
2m5XI3nM46,6.5,Accept,5.00,Reject,Reject,NO,0.0000,0.0000,3.0,6.0,6.0,5.0,,,
uJqKf24HGN,5.5,Reject,7.00,Accept (Poster),Accept,NO,0.0000,0.0000,6.0,8.0,6.0,8.0,,,
