paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,sdk_savings,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
CscKx97jBi,4.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,3.0,1.0,,,
3fl1SENSYO,5.5,Reject,7.50,Accept (Spotlight),Accept,NO,0.0000,0.0000,8.0,8.0,8.0,6.0,,,
DRiLWb8bJg,6.5,Accept,7.50,Accept (Spotlight),Accept,YES,0.0000,0.0000,8.0,8.0,8.0,6.0,,,
8wjWm5jr1w,5.5,Reject,6.00,Reject,Reject,YES,0.0000,0.0000,5.0,5.0,8.0,6.0,,,
ijwYWoChN9,4.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,,,,
Hz4BYVY8YM,5.5,Accept,7.50,Accept (Spotlight),Accept,YES,0.0000,0.0000,8.0,8.0,8.0,6.0,,,
dxMffCAd4w,3.0,Reject,2.50,Reject,Reject,YES,0.0000,0.0000,3.0,1.0,3.0,3.0,,,
pPWAPiFf3z,3.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,,,,
QKBu1BOAwd,5.0,Reject,7.33,Accept (Oral),Accept,NO,0.0000,0.0000,6.0,8.0,8.0,,,,
HNbNcDsgxL,3.0,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,5.0,3.0,3.0,1.0,3.0,,
rpbzBXdo4x,6.5,Accept,5.00,Reject,Reject,NO,0.0000,0.0000,6.0,5.0,3.0,6.0,,,
cXxfVkRCHJ,4.5,Reject,3.00,Reject,Reject,YES,0.0000,0.0000,3.0,3.0,3.0,,,,
friHAl5ofG,6.5,Accept,7.50,Accept (Spotlight),Accept,YES,0.0000,0.0000,8.0,8.0,6.0,8.0,,,
7visV100Ms,6.5,Accept,6.60,Accept (Poster),Accept,YES,0.0000,0.0000,6.0,6.0,8.0,8.0,5.0,,
Acvo2RGSCy,5.5,Reject,7.33,Accept (Spotlight),Accept,NO,0.0000,0.0000,8.0,6.0,8.0,,,,
