paper_id,pred_score,pred_decision,gt_avg_score,gt_decision,gt_binary,match,cost,gt_score_0,gt_score_1,gt_score_2,gt_score_3,gt_score_4,gt_score_5,gt_score_6
A1HhtITVEi,7.0,Accept,6.00,Accept (Poster),Accept,YES,0.0585,6.0,6.0,5.0,8.0,5.0,,
YkMg8sB8AH,5.0,Reject,4.25,Reject,Reject,YES,0.0418,3.0,5.0,3.0,6.0,,,
rPup1cWk4d,4.5,Reject,3.00,Reject,Reject,YES,0.0430,1.0,3.0,5.0,3.0,,,
LbgIZpSUCe,5.0,Reject,7.33,Accept (Spotlight),Accept,NO,0.0410,6.0,8.0,8.0,,,,
c61unr33XA,7.0,Accept,7.00,Accept (Poster),Accept,YES,0.0531,6.0,8.0,8.0,6.0,,,
UUwrBhhsxT,5.0,Reject,5.25,Reject,Reject,YES,0.0438,5.0,3.0,5.0,8.0,,,
LJULZNlW5d,3.5,Reject,3.00,Reject,Reject,YES,0.0368,3.0,1.0,3.0,5.0,,,
VpWki1v2P8,7.0,Accept,8.67,Accept (Oral),Accept,YES,0.0449,8.0,8.0,10.0,,,,
OXIIFZqiiN,2.5,Reject,1.50,Reject,Reject,YES,0.0338,1.0,1.0,3.0,1.0,,,
1aF2D2CPHi,7.0,Accept,8.00,Accept (Oral),Accept,YES,0.0552,8.0,6.0,10.0,8.0,,,
EqCbc4wrzy,4.5,Reject,2.50,Reject,Reject,YES,0.0465,3.0,1.0,3.0,3.0,,,
MFZjrTFE7h,7.5,Accept,7.50,Accept (Spotlight),Accept,YES,0.0389,8.0,8.0,8.0,6.0,,,
H25xduunIK,4.5,Reject,5.75,Reject,Reject,YES,0.0515,5.0,5.0,8.0,5.0,,,
PigfMZMHq1,4.5,Reject,3.67,Reject,Reject,YES,0.0434,5.0,3.0,3.0,,,,
bEvI30Hb2W,4.5,Reject,3.00,Reject,Reject,YES,0.0363,3.0,3.0,3.0,3.0,,,
p1HeFnn2AA,5.5,Accept,7.33,Reject,Reject,NO,0.0462,6.0,8.0,8.0,,,,
LyJi5ugyJx,7.5,Accept,9.20,Accept (Oral),Accept,YES,0.0579,8.0,10.0,8.0,10.0,10.0,,
m29SV0n6DO,3.5,Reject,4.25,Reject,Reject,YES,0.0406,1.0,3.0,8.0,5.0,,,
cLws58ZojF,7.5,Accept,3.00,Reject,Reject,NO,0.0359,3.0,3.0,3.0,3.0,,,
L9j8exYGUJ,5.0,Reject,5.00,Reject,Reject,YES,0.0493,6.0,3.0,6.0,5.0,,,
9AtlhmFVDi,7.0,Accept,5.50,Reject,Reject,NO,0.0418,3.0,6.0,5.0,8.0,,,
fBSc0c1IXJ,5.0,Reject,3.00,Reject,Reject,YES,0.0465,3.0,3.0,3.0,3.0,3.0,,
7Cx05z4pUc,5.0,Reject,5.00,Reject,Reject,YES,0.0533,6.0,8.0,3.0,3.0,,,
5XL8c0Vg9k,3.5,Reject,2.00,Reject,Reject,YES,0.0318,3.0,3.0,1.0,1.0,,,
u1cQYxRI1H,5.0,Reject,10.00,Accept (Oral),Accept,NO,0.0381,10.0,10.0,10.0,10.0,,,
nwDRD4AMoN,7.5,Accept,9.00,Accept (Oral),Accept,YES,0.0535,10.0,10.0,8.0,8.0,,,
oYSsbY3G4o,6.5,Accept,6.40,Accept (Poster),Accept,YES,0.0493,8.0,5.0,6.0,5.0,8.0,,
OZVTqoli2N,5.0,Reject,7.50,Accept (Spotlight),Accept,NO,0.0565,6.0,8.0,8.0,8.0,,,
SOd07Qxkw4,5.0,Reject,7.50,Accept (Spotlight),Accept,NO,0.0367,8.0,8.0,8.0,6.0,,,
sZQRUrvLn4,8.0,Accept,6.40,Accept (Spotlight),Accept,YES,0.0605,6.0,6.0,6.0,6.0,8.0,,
MGceYYNvXp,4.0,Reject,1.50,Reject,Reject,YES,0.0316,1.0,1.0,1.0,3.0,,,
VB8xHF1Rdl,4.5,Reject,3.50,Reject,Reject,YES,0.0383,3.0,3.0,5.0,3.0,,,
10kBEqYKKN,4.0,Reject,3.00,Reject,Reject,YES,0.0482,3.0,3.0,3.0,,,,
a8wjeqTZ9C,5.0,Reject,3.75,Reject,Reject,YES,0.0486,3.0,3.0,6.0,3.0,,,
iSTMsye6SD,5.0,Reject,5.25,Reject,Reject,YES,0.0381,6.0,5.0,5.0,5.0,,,
ywFOSIT9ik,4.0,Reject,6.80,Accept (Spotlight),Accept,NO,0.0417,8.0,6.0,6.0,6.0,8.0,,
tVNZj27pb3,4.0,Reject,3.67,Reject,Reject,YES,0.0561,3.0,3.0,5.0,,,,
onvN3zsNMI,5.0,Reject,3.50,Reject,Reject,YES,0.0368,3.0,5.0,3.0,3.0,,,
TwJrTz9cRS,7.0,Accept,8.00,Accept (Oral),Accept,YES,0.0454,8.0,8.0,8.0,,,,
WCRQFlji2q,7.0,Accept,9.00,Accept (Oral),Accept,YES,0.0586,8.0,10.0,8.0,10.0,,,
lXRDQsiP2v,7.0,Accept,7.50,Accept (Spotlight),Accept,YES,0.0546,8.0,8.0,8.0,6.0,,,
wwVGZRnAYG,5.5,Accept,5.50,Accept (Poster),Accept,YES,0.0427,6.0,6.0,5.0,5.0,,,
WRKVA3TgSv,5.0,Reject,3.00,Reject,Reject,YES,0.0573,3.0,3.0,3.0,3.0,,,
5IkDAfabuo,7.0,Accept,7.50,Accept (Oral),Accept,YES,0.0432,8.0,6.0,8.0,8.0,,,
o1efpbvR6v,3.5,Reject,2.33,Reject,Reject,YES,0.0380,5.0,1.0,1.0,,,,
CTC7CmirNr,7.0,Accept,7.00,Accept (Poster),Accept,YES,0.0659,6.0,8.0,8.0,6.0,,,
kkGIbmpCHU,7.0,Accept,4.75,Reject,Reject,NO,0.0622,5.0,3.0,5.0,6.0,,,
KiDGtYCPcv,4.0,Reject,4.25,Reject,Reject,YES,0.0366,6.0,5.0,3.0,3.0,,,
zfeso8ceqr,7.0,Accept,6.00,Accept (Poster),Accept,YES,0.0419,5.0,5.0,8.0,6.0,,,
Pxik3T6Mn9,5.0,Reject,4.50,Reject,Reject,YES,0.0604,6.0,3.0,3.0,6.0,,,
